"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"shan_2020_hs","shan_2020_hs_1","HS1","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad leaving my relatives behind.",NA,"strongly disagree",1
"shan_2020_hs","shan_2020_hs_1","HS1","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad leaving my relatives behind.",NA,"disagree",2
"shan_2020_hs","shan_2020_hs_1","HS1","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad leaving my relatives behind.",NA,"neutral",3
"shan_2020_hs","shan_2020_hs_1","HS1","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad leaving my relatives behind.",NA,"agree",4
"shan_2020_hs","shan_2020_hs_1","HS1","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad leaving my relatives behind.",NA,"strongly agree",5
"shan_2020_hs","shan_2020_hs_1","HS2","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"Home sickness bothers me.",NA,"strongly disagree",1
"shan_2020_hs","shan_2020_hs_1","HS2","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"Home sickness bothers me.",NA,"disagree",2
"shan_2020_hs","shan_2020_hs_1","HS2","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"Home sickness bothers me.",NA,"neutral",3
"shan_2020_hs","shan_2020_hs_1","HS2","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"Home sickness bothers me.",NA,"agree",4
"shan_2020_hs","shan_2020_hs_1","HS2","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"Home sickness bothers me.",NA,"strongly agree",5
"shan_2020_hs","shan_2020_hs_1","HS3","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad living in unfamiliar surroundings.",NA,"strongly disagree",1
"shan_2020_hs","shan_2020_hs_1","HS3","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad living in unfamiliar surroundings.",NA,"disagree",2
"shan_2020_hs","shan_2020_hs_1","HS3","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad living in unfamiliar surroundings.",NA,"neutral",3
"shan_2020_hs","shan_2020_hs_1","HS3","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad living in unfamiliar surroundings.",NA,"agree",4
"shan_2020_hs","shan_2020_hs_1","HS3","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I feel sad living in unfamiliar surroundings.",NA,"strongly agree",5
"shan_2020_hs","shan_2020_hs_1","HS4","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I miss the people and country of my origin.",NA,"strongly disagree",1
"shan_2020_hs","shan_2020_hs_1","HS4","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I miss the people and country of my origin.",NA,"disagree",2
"shan_2020_hs","shan_2020_hs_1","HS4","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I miss the people and country of my origin.",NA,"neutral",3
"shan_2020_hs","shan_2020_hs_1","HS4","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I miss the people and country of my origin.",NA,"agree",4
"shan_2020_hs","shan_2020_hs_1","HS4","Acculturative Stress Scale for International Students (ASSIS), Homesickness subscale",NA,NA,"I miss the people and country of my origin.",NA,"strongly agree",5
