"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity1","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unexpected way from opponent",NA,"not usually",2,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity1","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unexpected way from opponent",NA,"not slightly",3,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity1","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unexpected way from opponent",NA,"normal",4,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity1","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unexpected way from opponent",NA,"slightly",5,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity1","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unexpected way from opponent",NA,"usually",6,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity1","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unexpected way from opponent",NA,"very",7,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity2","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) tries new methods resolutely",NA,"not usually",2,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity2","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) tries new methods resolutely",NA,"not slightly",3,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity2","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) tries new methods resolutely",NA,"normal",4,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity2","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) tries new methods resolutely",NA,"slightly",5,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity2","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) tries new methods resolutely",NA,"usually",6,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity2","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) tries new methods resolutely",NA,"very",7,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity3","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unique way compared to others",NA,"not usually",2,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity3","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unique way compared to others",NA,"not slightly",3,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity3","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unique way compared to others",NA,"normal",4,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity3","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unique way compared to others",NA,"slightly",5,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity3","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unique way compared to others",NA,"usually",6,NA,NA,NA,NA
"shin2024_creactability_creativity","shin2024_creactability_creativity_1","Creativity3","Creactability Scale (Lee, Kang & Kim, 2020) - Creativity subscale","Korean",NA,NA,"He (she) plays unique way compared to others",NA,"very",7,NA,NA,NA,NA
