"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_1","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Discipline-specific knowledge",NA,"strongly disagree",1
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_1","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Discipline-specific knowledge",NA,"disagree",2
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_1","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Discipline-specific knowledge",NA,"neutral",3
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_1","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Discipline-specific knowledge",NA,"agree",4
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_1","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Discipline-specific knowledge",NA,"strongly agree",5
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_2","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to gather and interpret information",NA,"strongly disagree",1
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_2","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to gather and interpret information",NA,"disagree",2
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_2","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to gather and interpret information",NA,"neutral",3
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_2","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to gather and interpret information",NA,"agree",4
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_2","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to gather and interpret information",NA,"strongly agree",5
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_3","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to analyze data",NA,"strongly disagree",1
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_3","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to analyze data",NA,"disagree",2
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_3","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to analyze data",NA,"neutral",3
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_3","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to analyze data",NA,"agree",4
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_3","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to analyze data",NA,"strongly agree",5
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_4","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to manage a project",NA,"strongly disagree",1
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_4","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to manage a project",NA,"disagree",2
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_4","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to manage a project",NA,"neutral",3
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_4","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to manage a project",NA,"agree",4
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_4","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to manage a project",NA,"strongly agree",5
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_5","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Oral communication skills",NA,"strongly disagree",1
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_5","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Oral communication skills",NA,"disagree",2
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_5","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Oral communication skills",NA,"neutral",3
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_5","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Oral communication skills",NA,"agree",4
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_5","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Oral communication skills",NA,"strongly agree",5
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_6","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Written communication skills",NA,"strongly disagree",1
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_6","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Written communication skills",NA,"disagree",2
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_6","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Written communication skills",NA,"neutral",3
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_6","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Written communication skills",NA,"agree",4
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_6","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Written communication skills",NA,"strongly agree",5
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_7","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to work on a team",NA,"strongly disagree",1
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_7","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to work on a team",NA,"disagree",2
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_7","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to work on a team",NA,"neutral",3
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_7","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to work on a team",NA,"agree",4
"sinche_2017_skill_development","sinche_2017_skill_development_1","skill_dev_7","Transferrable skills developed during doctoral training (Sinche et al., 2017)","Please indicate your level of agreement with the following statement for each skill listed below:""I developed / continued to develop this skill during my doctoral program.""",NA,"Ability to work on a team",NA,"strongly agree",5
