"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.1. I was confident when doing mathematics as a child (aged 4-11)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a child (aged 4-11)",NA,"Never",1
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.1. I was confident when doing mathematics as a child (aged 4-11)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a child (aged 4-11)",NA,"Rarely",2
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.1. I was confident when doing mathematics as a child (aged 4-11)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a child (aged 4-11)",NA,"Sometimes",3
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.1. I was confident when doing mathematics as a child (aged 4-11)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a child (aged 4-11)",NA,"Often",4
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.1. I was confident when doing mathematics as a child (aged 4-11)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a child (aged 4-11)",NA,"Always",5
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.2. I was confident when doing mathematics as a teenager (aged 11-18)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a teenager (aged 11-18)",NA,"Never",1
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.2. I was confident when doing mathematics as a teenager (aged 11-18)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a teenager (aged 11-18)",NA,"Rarely",2
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.2. I was confident when doing mathematics as a teenager (aged 11-18)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a teenager (aged 11-18)",NA,"Sometimes",3
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.2. I was confident when doing mathematics as a teenager (aged 11-18)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a teenager (aged 11-18)",NA,"Often",4
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.2. I was confident when doing mathematics as a teenager (aged 11-18)","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I was confident when doing mathematics as a teenager (aged 11-18)",NA,"Always",5
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.3. I am confident when doing mathematics as an adult","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I am confident when doing mathematics as an adult",NA,"Never",1
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.3. I am confident when doing mathematics as an adult","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I am confident when doing mathematics as an adult",NA,"Rarely",2
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.3. I am confident when doing mathematics as an adult","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I am confident when doing mathematics as an adult",NA,"Sometimes",3
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.3. I am confident when doing mathematics as an adult","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I am confident when doing mathematics as an adult",NA,"Often",4
"stenhouse_2026_math_anxiety","stenhouse_2026_math_anxiety_15","15.3. I am confident when doing mathematics as an adult","Mathematics anxiety and mathematics teaching anxiety in trainee teachers survey (Stenhouse, Hyde & Parr, 2026): mathematics confidence items, maths anxiety rating, Mathematics Teaching Anxiety Scale (Hunt & Sari, 2019), maths teaching anxiety rating",NA,"How far do you agree with these statements?","I am confident when doing mathematics as an adult",NA,"Always",5
