"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_1","Closet","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Sometimes parents, stepparents or other adults living in the house do hurtful things.
If this happened during your childhood (first 18 years of your life) please provide your best estimate of your age at the time(s) of occurrence.
Please check all ages that apply.","Locked you in a closet, attic, basement or garage.",NA,"No",0
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_1","Closet","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Sometimes parents, stepparents or other adults living in the house do hurtful things.
If this happened during your childhood (first 18 years of your life) please provide your best estimate of your age at the time(s) of occurrence.
Please check all ages that apply.","Locked you in a closet, attic, basement or garage.",NA,"Yes",1
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_2","P_diff_please","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Please indicate if the following happened during your childhood (first 18 years of your life). Please provide your best estimates of your age at the time(s) of occurrence.
Please check all ages that apply.","A parent or other important parental figure was very difficult to please.",NA,"No",0
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_2","P_diff_please","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Please indicate if the following happened during your childhood (first 18 years of your life). Please provide your best estimates of your age at the time(s) of occurrence.
Please check all ages that apply.","A parent or other important parental figure was very difficult to please.",NA,"Yes",1
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_2","P_no_time","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Please indicate if the following happened during your childhood (first 18 years of your life). Please provide your best estimates of your age at the time(s) of occurrence.
Please check all ages that apply.","A parent or other important parental figure did not have the time or interest to talk to you.",NA,"No",0
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_2","P_no_time","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Please indicate if the following happened during your childhood (first 18 years of your life). Please provide your best estimates of your age at the time(s) of occurrence.
Please check all ages that apply.","A parent or other important parental figure did not have the time or interest to talk to you.",NA,"Yes",1
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_3","Financial_pressure","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Please indicate if the following statements were true about you and your family during your childhood, and your age at the time(s) you felt this to be true.
Please check all ages that apply.","You felt that your family was under severe financial pressure.",NA,"No",0
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_3","Financial_pressure","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Please indicate if the following statements were true about you and your family during your childhood, and your age at the time(s) you felt this to be true.
Please check all ages that apply.","You felt that your family was under severe financial pressure.",NA,"Yes",1
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_3","Kept_secrets","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Please indicate if the following statements were true about you and your family during your childhood, and your age at the time(s) you felt this to be true.
Please check all ages that apply.","One or more individuals kept important secrets or facts from you.",NA,"No",0
"teicher_2015_mace_nonverbal","teicher_2015_mace_nonverbal_3","Kept_secrets","Maltreatment and Abuse Chronology of Exposure scale, 75-item experimental version (MACE-X): parental non-verbal emotional abuse items",NA,"Please indicate if the following statements were true about you and your family during your childhood, and your age at the time(s) you felt this to be true.
Please check all ages that apply.","One or more individuals kept important secrets or facts from you.",NA,"Yes",1
