"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI1","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"To inspect my social status in the future, I am willing to continue using the TreeIt system.",NA,NA,"Strongly disagree",NA,1
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI1","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"To inspect my social status in the future, I am willing to continue using the TreeIt system.",NA,NA,"Disagree",NA,2
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI1","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"To inspect my social status in the future, I am willing to continue using the TreeIt system.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI1","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"To inspect my social status in the future, I am willing to continue using the TreeIt system.",NA,NA,"Agree",NA,4
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI1","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"To inspect my social status in the future, I am willing to continue using the TreeIt system.",NA,NA,"Strongly agree",NA,5
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI2","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I plan to use the TreeIt system to inspect my social status.",NA,NA,"Strongly disagree",NA,1
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI2","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I plan to use the TreeIt system to inspect my social status.",NA,NA,"Disagree",NA,2
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI2","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I plan to use the TreeIt system to inspect my social status.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI2","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I plan to use the TreeIt system to inspect my social status.",NA,NA,"Agree",NA,4
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI2","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I plan to use the TreeIt system to inspect my social status.",NA,NA,"Strongly agree",NA,5
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI3","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I will recommend the TreeIt system to my family and friends.",NA,NA,"Strongly disagree",NA,1
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI3","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I will recommend the TreeIt system to my family and friends.",NA,NA,"Disagree",NA,2
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI3","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I will recommend the TreeIt system to my family and friends.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI3","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I will recommend the TreeIt system to my family and friends.",NA,NA,"Agree",NA,4
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI3","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"I will recommend the TreeIt system to my family and friends.",NA,NA,"Strongly agree",NA,5
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI4","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"Overall, I have a high intention to use the TreeIt system.",NA,NA,"Strongly disagree",NA,1
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI4","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"Overall, I have a high intention to use the TreeIt system.",NA,NA,"Disagree",NA,2
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI4","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"Overall, I have a high intention to use the TreeIt system.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI4","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"Overall, I have a high intention to use the TreeIt system.",NA,NA,"Agree",NA,4
"tsai_2017_treeit_tam_bi","tsai_2017_treeit_tam_bi_1","BI4","TreeIt Technology Acceptance Model Questionnaire (Tsai et al. 2017, Appendix 2; adapted from Davis et al. 1989 TAM): Behavioral Intention","Chinese",NA,NA,NA,NA,"Overall, I have a high intention to use the TreeIt system.",NA,NA,"Strongly agree",NA,5
