"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_1_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I am clear about my feelings.",NA,"Almost never (0-10%)",1
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_1_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I am clear about my feelings.",NA,"Sometimes (11-35%)",2
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_1_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I am clear about my feelings.",NA,"About half the time (36-65%)",3
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_1_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I am clear about my feelings.",NA,"Most of the time (66-90%)",4
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_1_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I am clear about my feelings.",NA,"Almost always (91-100%)",5
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_2_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I pay attention to how I feel.",NA,"Almost never (0-10%)",1
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_2_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I pay attention to how I feel.",NA,"Sometimes (11-35%)",2
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_2_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I pay attention to how I feel.",NA,"About half the time (36-65%)",3
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_2_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I pay attention to how I feel.",NA,"Most of the time (66-90%)",4
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_2_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I pay attention to how I feel.",NA,"Almost always (91-100%)",5
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_3_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I experience my emotions as overwhelming and out of control.",NA,"Almost never (0-10%)",1
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_3_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I experience my emotions as overwhelming and out of control.",NA,"Sometimes (11-35%)",2
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_3_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I experience my emotions as overwhelming and out of control.",NA,"About half the time (36-65%)",3
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_3_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I experience my emotions as overwhelming and out of control.",NA,"Most of the time (66-90%)",4
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_3_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I experience my emotions as overwhelming and out of control.",NA,"Almost always (91-100%)",5
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_4_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I have no idea how I am feeling.",NA,"Almost never (0-10%)",1
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_4_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I have no idea how I am feeling.",NA,"Sometimes (11-35%)",2
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_4_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I have no idea how I am feeling.",NA,"About half the time (36-65%)",3
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_4_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I have no idea how I am feeling.",NA,"Most of the time (66-90%)",4
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_4_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I have no idea how I am feeling.",NA,"Almost always (91-100%)",5
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_5_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I have difficulty making sense out of my feelings.",NA,"Almost never (0-10%)",1
"paampsmartsud_saba_2023_ders","paampsmartsud_saba_2023_ders_1","DERS_5_POST","Difficulties in Emotion Regulation Scale (DERS-36)",NA,NA,"I have difficulty making sense out of my feelings.",NA,"Sometimes (11-35%)",2
