"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","language"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Cómo es su estado de salud actual?",NA,"Muy malo",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Cómo es su estado de salud actual?",NA,"Malo",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Cómo es su estado de salud actual?",NA,"Regular",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Cómo es su estado de salud actual?",NA,"Bueno",4,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Cómo es su estado de salud actual?",NA,"Muy bueno",5,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Asistir a reuniones sociales, culturales o deportivas",NA,"Muy difícil",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Asistir a reuniones sociales, culturales o deportivas",NA,"Difícil",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Asistir a reuniones sociales, culturales o deportivas",NA,"Ni fácil ni difícil",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Asistir a reuniones sociales, culturales o deportivas",NA,"Fácil",4,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Asistir a reuniones sociales, culturales o deportivas",NA,"Muy fácil",5,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_b","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Tener un trabajo",NA,"Muy difícil",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_b","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Tener un trabajo",NA,"Difícil",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_b","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Tener un trabajo",NA,"Ni fácil ni difícil",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_b","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Tener un trabajo",NA,"Fácil",4,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_b","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Tener un trabajo",NA,"Muy fácil",5,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_c","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Estudiar",NA,"Muy difícil",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_c","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Estudiar",NA,"Difícil",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_c","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Estudiar",NA,"Ni fácil ni difícil",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_c","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Estudiar",NA,"Fácil",4,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss2_c","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Fue fácil: Estudiar",NA,"Muy fácil",5,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para conseguir una hora con un médico?",NA,"Sí",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para conseguir una hora con un médico?",NA,"No",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para conseguir una hora con un médico?",NA,"No ha necesitado un médico o médica especialista",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss4","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para poder pagar los medicamentos?",NA,"Sí",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss4","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para poder pagar los medicamentos?",NA,"No",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss4","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para poder pagar los medicamentos?",NA,"No ha necesitado medicamentos",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss5","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para conseguir una hora para una operación?",NA,"Sí",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss5","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para conseguir una hora para una operación?",NA,"No",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss5","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","¿Ha tenido problemas para conseguir una hora para una operación?",NA,"No ha necesitado una operación",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss6","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Frente a un problema de salud ¿cuán protegido(a) se siente financieramente?",NA,"Muy desprotegido(a)",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss6","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Frente a un problema de salud ¿cuán protegido(a) se siente financieramente?",NA,"Desprotegido(a)",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss6","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Frente a un problema de salud ¿cuán protegido(a) se siente financieramente?",NA,"Ni desprotegido(a) ni protegido(a)",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss6","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Frente a un problema de salud ¿cuán protegido(a) se siente financieramente?",NA,"Protegido(a)",4,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss6","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Frente a un problema de salud ¿cuán protegido(a) se siente financieramente?",NA,"Muy protegido(a)",5,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss7_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Poco interés o placer en hacer cosas",NA,"Nunca",1,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss7_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Poco interés o placer en hacer cosas",NA,"Algunos días",2,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss7_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Poco interés o placer en hacer cosas",NA,"Más de la mitad de los días",3,"Spanish"
"chile_2023_social-welfare-survey_ss","chile_2023_social-welfare-survey_ss_1","ss7_a","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo SS: Salud","Poco interés o placer en hacer cosas",NA,"Casi todos los días",4,"Spanish"
