"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"valdivia_2023_oms","valdivia_2023_oms_1","oms1","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Me siento más cómodo ayudando a una persona que tiene una enfermedad física que a una persona que tiene una enfermedad mental.","I am more comfortable helping a person who has a physical illness than I am helping a person who has a mental illness.",NA,"Completamente en desacuerdo","completely disagree",1
"valdivia_2023_oms","valdivia_2023_oms_1","oms1","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Me siento más cómodo ayudando a una persona que tiene una enfermedad física que a una persona que tiene una enfermedad mental.","I am more comfortable helping a person who has a physical illness than I am helping a person who has a mental illness.",NA,"En desacuerdo","disagree",2
"valdivia_2023_oms","valdivia_2023_oms_1","oms1","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Me siento más cómodo ayudando a una persona que tiene una enfermedad física que a una persona que tiene una enfermedad mental.","I am more comfortable helping a person who has a physical illness than I am helping a person who has a mental illness.",NA,"Ni en acuerdo ni en desacuerdo","neither agree nor disagree",3
"valdivia_2023_oms","valdivia_2023_oms_1","oms1","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Me siento más cómodo ayudando a una persona que tiene una enfermedad física que a una persona que tiene una enfermedad mental.","I am more comfortable helping a person who has a physical illness than I am helping a person who has a mental illness.",NA,"De acuerdo","agree",4
"valdivia_2023_oms","valdivia_2023_oms_1","oms1","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Me siento más cómodo ayudando a una persona que tiene una enfermedad física que a una persona que tiene una enfermedad mental.","I am more comfortable helping a person who has a physical illness than I am helping a person who has a mental illness.",NA,"Completamente de acuerdo","completely agree",5
"valdivia_2023_oms","valdivia_2023_oms_1","oms2","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si supiera que un compañero está en tratamiento por una enfermedad mental, cómodo(a) trabajando con él.","If a colleague with whom I work told me they had a managed mental illness, I would be as willing to work with him/her.",NA,"Completamente en desacuerdo","completely disagree",1
"valdivia_2023_oms","valdivia_2023_oms_1","oms2","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si supiera que un compañero está en tratamiento por una enfermedad mental, cómodo(a) trabajando con él.","If a colleague with whom I work told me they had a managed mental illness, I would be as willing to work with him/her.",NA,"En desacuerdo","disagree",2
"valdivia_2023_oms","valdivia_2023_oms_1","oms2","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si supiera que un compañero está en tratamiento por una enfermedad mental, cómodo(a) trabajando con él.","If a colleague with whom I work told me they had a managed mental illness, I would be as willing to work with him/her.",NA,"Ni en acuerdo ni en desacuerdo","neither agree nor disagree",3
"valdivia_2023_oms","valdivia_2023_oms_1","oms2","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si supiera que un compañero está en tratamiento por una enfermedad mental, cómodo(a) trabajando con él.","If a colleague with whom I work told me they had a managed mental illness, I would be as willing to work with him/her.",NA,"De acuerdo","agree",4
"valdivia_2023_oms","valdivia_2023_oms_1","oms2","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si supiera que un compañero está en tratamiento por una enfermedad mental, cómodo(a) trabajando con él.","If a colleague with whom I work told me they had a managed mental illness, I would be as willing to work with him/her.",NA,"Completamente de acuerdo","completely agree",5
"valdivia_2023_oms","valdivia_2023_oms_1","oms3","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si estuviera en tratamiento por una enfermedad mental, es poco probable que lo comente con alguno de mis compañeros.","If I were under treatment for a mental illness, I would not disclose this to any of my colleagues.",NA,"Completamente en desacuerdo","completely disagree",1
"valdivia_2023_oms","valdivia_2023_oms_1","oms3","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si estuviera en tratamiento por una enfermedad mental, es poco probable que lo comente con alguno de mis compañeros.","If I were under treatment for a mental illness, I would not disclose this to any of my colleagues.",NA,"En desacuerdo","disagree",2
"valdivia_2023_oms","valdivia_2023_oms_1","oms3","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si estuviera en tratamiento por una enfermedad mental, es poco probable que lo comente con alguno de mis compañeros.","If I were under treatment for a mental illness, I would not disclose this to any of my colleagues.",NA,"Ni en acuerdo ni en desacuerdo","neither agree nor disagree",3
"valdivia_2023_oms","valdivia_2023_oms_1","oms3","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si estuviera en tratamiento por una enfermedad mental, es poco probable que lo comente con alguno de mis compañeros.","If I were under treatment for a mental illness, I would not disclose this to any of my colleagues.",NA,"De acuerdo","agree",4
"valdivia_2023_oms","valdivia_2023_oms_1","oms3","Opening Minds Stigma Scale for Health Care Providers (OMS-HC-15), Mexican Spanish version","Spanish","El siguiente cuestionario busca conocer su opinión acerca de una serie de ideas sobre la salud mental. No hay respuestas correctas o incorrectas. Por favor, marque en cada casilla la respuesta que mejor se ajuste a su opinión.","The following questionnaire seeks to learn your opinion about a series of ideas about mental health. There are no right or wrong answers. Please mark in each box the answer that best fits your opinion.",NA,NA,"Si estuviera en tratamiento por una enfermedad mental, es poco probable que lo comente con alguno de mis compañeros.","If I were under treatment for a mental illness, I would not disclose this to any of my colleagues.",NA,"Completamente de acuerdo","completely agree",5
