"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"wang_2026_attitude","wang_2026_attitude_1","ATT1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology is pleasant.",NA,NA,"Strongly Disagree",NA,1
"wang_2026_attitude","wang_2026_attitude_1","ATT1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology is pleasant.",NA,NA,"Disagree",NA,2
"wang_2026_attitude","wang_2026_attitude_1","ATT1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology is pleasant.",NA,NA,"Neutral",NA,3
"wang_2026_attitude","wang_2026_attitude_1","ATT1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology is pleasant.",NA,NA,"Agree",NA,4
"wang_2026_attitude","wang_2026_attitude_1","ATT1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology is pleasant.",NA,NA,"Strongly Agree",NA,5
"wang_2026_attitude","wang_2026_attitude_1","ATT2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I find using DG technology to be enjoyable.",NA,NA,"Strongly Disagree",NA,1
"wang_2026_attitude","wang_2026_attitude_1","ATT2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I find using DG technology to be enjoyable.",NA,NA,"Disagree",NA,2
"wang_2026_attitude","wang_2026_attitude_1","ATT2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I find using DG technology to be enjoyable.",NA,NA,"Neutral",NA,3
"wang_2026_attitude","wang_2026_attitude_1","ATT2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I find using DG technology to be enjoyable.",NA,NA,"Agree",NA,4
"wang_2026_attitude","wang_2026_attitude_1","ATT2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I find using DG technology to be enjoyable.",NA,NA,"Strongly Agree",NA,5
"wang_2026_attitude","wang_2026_attitude_1","ATT3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I have fun using DG technology.",NA,NA,"Strongly Disagree",NA,1
"wang_2026_attitude","wang_2026_attitude_1","ATT3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I have fun using DG technology.",NA,NA,"Disagree",NA,2
"wang_2026_attitude","wang_2026_attitude_1","ATT3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I have fun using DG technology.",NA,NA,"Neutral",NA,3
"wang_2026_attitude","wang_2026_attitude_1","ATT3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I have fun using DG technology.",NA,NA,"Agree",NA,4
"wang_2026_attitude","wang_2026_attitude_1","ATT3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Attitude towards Technology (ATT)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"I have fun using DG technology.",NA,NA,"Strongly Agree",NA,5
