"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enables me to accomplish tasks more quickly.",NA,NA,"Strongly Disagree",NA,1
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enables me to accomplish tasks more quickly.",NA,NA,"Disagree",NA,2
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enables me to accomplish tasks more quickly.",NA,NA,"Neutral",NA,3
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enables me to accomplish tasks more quickly.",NA,NA,"Agree",NA,4
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enables me to accomplish tasks more quickly.",NA,NA,"Strongly Agree",NA,5
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enhances my effectiveness.",NA,NA,"Strongly Disagree",NA,1
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enhances my effectiveness.",NA,NA,"Disagree",NA,2
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enhances my effectiveness.",NA,NA,"Neutral",NA,3
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enhances my effectiveness.",NA,NA,"Agree",NA,4
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology enhances my effectiveness.",NA,NA,"Strongly Agree",NA,5
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology increases my productivity.",NA,NA,"Strongly Disagree",NA,1
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology increases my productivity.",NA,NA,"Disagree",NA,2
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology increases my productivity.",NA,NA,"Neutral",NA,3
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology increases my productivity.",NA,NA,"Agree",NA,4
"wang_2026_perceived_usefulness","wang_2026_perceived_usefulness_1","PU3","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Perceived Usefulness (PU)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,NA,NA,"Using DG technology increases my productivity.",NA,NA,"Strongly Agree",NA,5
