"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Improves student academic record.",NA,NA,"Strongly Disagree",NA,1
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Improves student academic record.",NA,NA,"Disagree",NA,2
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Improves student academic record.",NA,NA,"Neutral",NA,3
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Improves student academic record.",NA,NA,"Agree",NA,4
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP1","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Improves student academic record.",NA,NA,"Strongly Agree",NA,5
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Motivates students to get more involved in learning activities.",NA,NA,"Strongly Disagree",NA,1
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Motivates students to get more involved in learning activities.",NA,NA,"Disagree",NA,2
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Motivates students to get more involved in learning activities.",NA,NA,"Neutral",NA,3
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Motivates students to get more involved in learning activities.",NA,NA,"Agree",NA,4
"wang_2026_teaching_presence","wang_2026_teaching_presence_1","TP2","Behavioral Intention towards Digital Game-Based Learning Questionnaire -- Technology Perception (TP)","Chinese","Using the scale, indicate the extent to which you disagree or agree with the following statements with using DB in classroom:",NA,"Using DG in classroom …",NA,"Motivates students to get more involved in learning activities.",NA,NA,"Strongly Agree",NA,5
