"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect1","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"I gained perspective on life when I was watching the video",NA,"STRONGLY DISAGREE",1
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect1","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"I gained perspective on life when I was watching the video",NA,NA,2
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect1","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"I gained perspective on life when I was watching the video",NA,NA,3
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect1","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"I gained perspective on life when I was watching the video",NA,NA,4
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect1","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"I gained perspective on life when I was watching the video",NA,"STRONGLY AGREE",5
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect2","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video cleared my head",NA,"STRONGLY DISAGREE",1
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect2","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video cleared my head",NA,NA,2
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect2","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video cleared my head",NA,NA,3
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect2","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video cleared my head",NA,NA,4
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect2","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video cleared my head",NA,"STRONGLY AGREE",5
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect3","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video made me feel more connected to nature",NA,"STRONGLY DISAGREE",1
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect3","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video made me feel more connected to nature",NA,NA,2
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect3","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video made me feel more connected to nature",NA,NA,3
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect3","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video made me feel more connected to nature",NA,NA,4
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect3","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video made me feel more connected to nature",NA,"STRONGLY AGREE",5
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect4","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video made me feel part of something that is greater than myself",NA,"STRONGLY DISAGREE",1
"wolf_2017_study2_nature_connect","wolf_2017_study2_nature_connect_1","connect4","Post-video connectedness and restoration items (study-specific 6-item scale; deposit composite 'video_connect')",NA,NA,"Watching the video made me feel part of something that is greater than myself",NA,NA,2
