"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"yandun2026_memory","yandun2026_memory_1","mem1","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,"Never",NA,1
"yandun2026_memory","yandun2026_memory_1","mem1","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,NA,NA,2
"yandun2026_memory","yandun2026_memory_1","mem1","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,NA,NA,3
"yandun2026_memory","yandun2026_memory_1","mem1","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,NA,NA,4
"yandun2026_memory","yandun2026_memory_1","mem1","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,"Always",NA,5
"yandun2026_memory","yandun2026_memory_1","mem2","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,"Never",NA,1
"yandun2026_memory","yandun2026_memory_1","mem2","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,NA,NA,2
"yandun2026_memory","yandun2026_memory_1","mem2","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,NA,NA,3
"yandun2026_memory","yandun2026_memory_1","mem2","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,NA,NA,4
"yandun2026_memory","yandun2026_memory_1","mem2","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,"Always",NA,5
"yandun2026_memory","yandun2026_memory_1","mem3","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,"Never",NA,1
"yandun2026_memory","yandun2026_memory_1","mem3","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,NA,NA,2
"yandun2026_memory","yandun2026_memory_1","mem3","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,NA,NA,3
"yandun2026_memory","yandun2026_memory_1","mem3","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,NA,NA,4
"yandun2026_memory","yandun2026_memory_1","mem3","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,"Always",NA,5
"yandun2026_memory","yandun2026_memory_1","mem4","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,"Never",NA,1
"yandun2026_memory","yandun2026_memory_1","mem4","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,NA,NA,2
"yandun2026_memory","yandun2026_memory_1","mem4","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,NA,NA,3
"yandun2026_memory","yandun2026_memory_1","mem4","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,NA,NA,4
"yandun2026_memory","yandun2026_memory_1","mem4","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,"Always",NA,5
"yandun2026_memory","yandun2026_memory_1","mem5","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,"Never",NA,1
"yandun2026_memory","yandun2026_memory_1","mem5","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,NA,NA,2
"yandun2026_memory","yandun2026_memory_1","mem5","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,NA,NA,3
"yandun2026_memory","yandun2026_memory_1","mem5","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,NA,NA,4
"yandun2026_memory","yandun2026_memory_1","mem5","Cognitive Development Assessment in Early Childhood Education (Memory dimension)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,"Always",NA,5
