"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"yang_2018_cesd","yang_2018_cesd_1","E1","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I was bothered by things that usually don’t bother me.",NA,"Never/ rarely(during the past week, it happened less than a day)",1
"yang_2018_cesd","yang_2018_cesd_1","E1","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I was bothered by things that usually don’t bother me.",NA,"Seldom(during the past week, it happened 1 to 2 days)",2
"yang_2018_cesd","yang_2018_cesd_1","E1","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I was bothered by things that usually don’t bother me.",NA,"Often(during the past week, it happened 3 to 4 days)",3
"yang_2018_cesd","yang_2018_cesd_1","E1","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I was bothered by things that usually don’t bother me.",NA,"Almost always(during the past week, it happened 5 to 7 days)",4
"yang_2018_cesd","yang_2018_cesd_1","E2","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I did not feel like eating; my appetite was poor.",NA,"Never/ rarely(during the past week, it happened less than a day)",1
"yang_2018_cesd","yang_2018_cesd_1","E2","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I did not feel like eating; my appetite was poor.",NA,"Seldom(during the past week, it happened 1 to 2 days)",2
"yang_2018_cesd","yang_2018_cesd_1","E2","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I did not feel like eating; my appetite was poor.",NA,"Often(during the past week, it happened 3 to 4 days)",3
"yang_2018_cesd","yang_2018_cesd_1","E2","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I did not feel like eating; my appetite was poor.",NA,"Almost always(during the past week, it happened 5 to 7 days)",4
"yang_2018_cesd","yang_2018_cesd_1","E3","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I felt that I could not shake off the blues even with help from my family or friends.",NA,"Never/ rarely(during the past week, it happened less than a day)",1
"yang_2018_cesd","yang_2018_cesd_1","E3","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I felt that I could not shake off the blues even with help from my family or friends.",NA,"Seldom(during the past week, it happened 1 to 2 days)",2
"yang_2018_cesd","yang_2018_cesd_1","E3","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I felt that I could not shake off the blues even with help from my family or friends.",NA,"Often(during the past week, it happened 3 to 4 days)",3
"yang_2018_cesd","yang_2018_cesd_1","E3","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I felt that I could not shake off the blues even with help from my family or friends.",NA,"Almost always(during the past week, it happened 5 to 7 days)",4
"yang_2018_cesd","yang_2018_cesd_1","E4","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I felt I was just as good as other people.",NA,"Never/ rarely(during the past week, it happened less than a day)",1
"yang_2018_cesd","yang_2018_cesd_1","E4","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I felt I was just as good as other people.",NA,"Seldom(during the past week, it happened 1 to 2 days)",2
"yang_2018_cesd","yang_2018_cesd_1","E4","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I felt I was just as good as other people.",NA,"Often(during the past week, it happened 3 to 4 days)",3
"yang_2018_cesd","yang_2018_cesd_1","E4","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I felt I was just as good as other people.",NA,"Almost always(during the past week, it happened 5 to 7 days)",4
"yang_2018_cesd","yang_2018_cesd_1","E5","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I had trouble keeping my mind on what I was doing.",NA,"Never/ rarely(during the past week, it happened less than a day)",1
"yang_2018_cesd","yang_2018_cesd_1","E5","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I had trouble keeping my mind on what I was doing.",NA,"Seldom(during the past week, it happened 1 to 2 days)",2
"yang_2018_cesd","yang_2018_cesd_1","E5","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I had trouble keeping my mind on what I was doing.",NA,"Often(during the past week, it happened 3 to 4 days)",3
"yang_2018_cesd","yang_2018_cesd_1","E5","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","Below is a list of the ways you might have felt or behaved. Please tell us how often you have felt this way during the past week.",NA,"I had trouble keeping my mind on what I was doing.",NA,"Almost always(during the past week, it happened 5 to 7 days)",4
