"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_1","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I don't want to eat. I have a bad appetite",NA,NA,1
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_1","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I don't want to eat. I have a bad appetite",NA,NA,2
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_1","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I don't want to eat. I have a bad appetite",NA,NA,3
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_1","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I don't want to eat. I have a bad appetite",NA,NA,4
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_2","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I was bothered by things that usually don’t bother me.",NA,NA,1
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_2","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I was bothered by things that usually don’t bother me.",NA,NA,2
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_2","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I was bothered by things that usually don’t bother me.",NA,NA,3
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_2","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I was bothered by things that usually don’t bother me.",NA,NA,4
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_3","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I think I can't handle it even with the help of my family and friends",NA,NA,1
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_3","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I think I can't handle it even with the help of my family and friends",NA,NA,2
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_3","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I think I can't handle it even with the help of my family and friends",NA,NA,3
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_3","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I think I can't handle it even with the help of my family and friends",NA,NA,4
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_4","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I think I'm just as good as everyone else",NA,NA,1
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_4","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I think I'm just as good as everyone else",NA,NA,2
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_4","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I think I'm just as good as everyone else",NA,NA,3
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_4","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I think I'm just as good as everyone else",NA,NA,4
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_5","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I have a hard time concentrating on doing things",NA,NA,1
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_5","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I have a hard time concentrating on doing things",NA,NA,2
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_5","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I have a hard time concentrating on doing things",NA,NA,3
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_5","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I have a hard time concentrating on doing things",NA,NA,4
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_6","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I feel sad",NA,NA,1
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_6","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I feel sad",NA,NA,2
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_6","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I feel sad",NA,NA,3
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_6","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I feel sad",NA,NA,4
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_7","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I feel it is hard to do anything",NA,NA,1
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_7","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I feel it is hard to do anything",NA,NA,2
"yang_2023_emotional_eating_cesd","yang_2023_emotional_eating_cesd_1","CESD_7","Center for Epidemiologic Studies Depression Scale (CES-D)","Chinese","there are 20 statements, please choose to best describe the last week",NA,"I feel it is hard to do anything",NA,NA,3
