"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D1","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am at risk to get dengue fever.",NA,"Strongly Disagree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D1","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am at risk to get dengue fever.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D1","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am at risk to get dengue fever.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D1","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am at risk to get dengue fever.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D1","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am at risk to get dengue fever.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D1","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am at risk to get dengue fever.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D1","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am at risk to get dengue fever.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D1","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am at risk to get dengue fever.",NA,"Strongly Agree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D2","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever is a seasonal disease, I will be safe from it if the dengue season has passed.",NA,"Strongly Agree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D2","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever is a seasonal disease, I will be safe from it if the dengue season has passed.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D2","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever is a seasonal disease, I will be safe from it if the dengue season has passed.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D2","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever is a seasonal disease, I will be safe from it if the dengue season has passed.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D2","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever is a seasonal disease, I will be safe from it if the dengue season has passed.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D2","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever is a seasonal disease, I will be safe from it if the dengue season has passed.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D2","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever is a seasonal disease, I will be safe from it if the dengue season has passed.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D2","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever is a seasonal disease, I will be safe from it if the dengue season has passed.",NA,"Strongly Disagree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,"Strongly Agree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,"Strongly Disagree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,"Strongly Disagree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,5
