"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_1","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商是否使用了环保的建筑材料","There are concerns about the use of environmentally friendly building materials by contractors/subcontractors",NA,"完全没有","Don't have",1
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_1","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商是否使用了环保的建筑材料","There are concerns about the use of environmentally friendly building materials by contractors/subcontractors",NA,"很少有","Rare",2
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_1","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商是否使用了环保的建筑材料","There are concerns about the use of environmentally friendly building materials by contractors/subcontractors",NA,"一般","Normal",3
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_1","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商是否使用了环保的建筑材料","There are concerns about the use of environmentally friendly building materials by contractors/subcontractors",NA,"偶尔有","Often",4
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_1","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商是否使用了环保的建筑材料","There are concerns about the use of environmentally friendly building materials by contractors/subcontractors",NA,"经常有","Always",5
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_2","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商定是否期将垃圾堆放在指定位置","There is concern that the contractor/subcontractor will agree to place the garbage dump in the designated location",NA,"完全没有","Don't have",1
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_2","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商定是否期将垃圾堆放在指定位置","There is concern that the contractor/subcontractor will agree to place the garbage dump in the designated location",NA,"很少有","Rare",2
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_2","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商定是否期将垃圾堆放在指定位置","There is concern that the contractor/subcontractor will agree to place the garbage dump in the designated location",NA,"一般","Normal",3
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_2","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商定是否期将垃圾堆放在指定位置","There is concern that the contractor/subcontractor will agree to place the garbage dump in the designated location",NA,"偶尔有","Often",4
"zeng_2025_megaproject_seap","zeng_2025_megaproject_seap_1","item_3_2","Stakeholder Environmental Activities Participation during the Project Life-cycle (SEAP-PL)","Chinese; English","本部分考察的是您在项目的整个周期过程当中，做出的各种有利于环境保护的活动/行为的程度（不论活动大小），请根据您个人的感知以及实际情况来填写。","This section examines the various activities/behaviors that you have done in favor of environmental protection during the whole cycle of the project (regardless of activity size). Please fill in according to your personal perception.",NA,NA,"有注意承包商/分包商定是否期将垃圾堆放在指定位置","There is concern that the contractor/subcontractor will agree to place the garbage dump in the designated location",NA,"经常有","Always",5
