"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","language"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF1","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"GAI has provided strong support for my learning tasks.",NA,"Strongly Disagree",1,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF1","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"GAI has provided strong support for my learning tasks.",NA,NA,2,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF1","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"GAI has provided strong support for my learning tasks.",NA,NA,3,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF1","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"GAI has provided strong support for my learning tasks.",NA,NA,4,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF1","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"GAI has provided strong support for my learning tasks.",NA,NA,5,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF1","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"GAI has provided strong support for my learning tasks.",NA,NA,6,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF1","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"GAI has provided strong support for my learning tasks.",NA,"Strongly Agree",7,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF2","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Using GAI effectively meets the needs of my academic tasks.",NA,"Strongly Disagree",1,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF2","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Using GAI effectively meets the needs of my academic tasks.",NA,NA,2,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF2","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Using GAI effectively meets the needs of my academic tasks.",NA,NA,3,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF2","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Using GAI effectively meets the needs of my academic tasks.",NA,NA,4,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF2","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Using GAI effectively meets the needs of my academic tasks.",NA,NA,5,"Chinese"
"zeng_2026_gai_ttf","zeng_2026_gai_ttf_1","TTF2","Task-Technology Fit (TTF) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Using GAI effectively meets the needs of my academic tasks.",NA,NA,6,"Chinese"
