"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP1","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally misleading.",NA,NA,1
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP1","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally misleading.",NA,NA,2
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP1","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally misleading.",NA,NA,3
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP1","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally misleading.",NA,NA,4
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP1","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally misleading.",NA,NA,5
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP2","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceptive.",NA,NA,1
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP2","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceptive.",NA,NA,2
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP2","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceptive.",NA,NA,3
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP2","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceptive.",NA,NA,4
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP2","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceptive.",NA,NA,5
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP3","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceitful.",NA,NA,1
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP3","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceitful.",NA,NA,2
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP3","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceitful.",NA,NA,3
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP3","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceitful.",NA,NA,4
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP3","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally deceitful.",NA,NA,5
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP4","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally dishonest.",NA,NA,1
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP4","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally dishonest.",NA,NA,2
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP4","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally dishonest.",NA,NA,3
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP4","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally dishonest.",NA,NA,4
"zhang_2024_streamer_dsp","zhang_2024_streamer_dsp_1","SDSP4","Streamer’s deceptive self-presentation","Chinese",NA,NA,"Streamer’s self-presentation is intentionally dishonest.",NA,NA,5
