"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","language"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP1","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government imposes severe penalties for corporate behavior that damages the environment.",NA,"total disagreement",1,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP1","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government imposes severe penalties for corporate behavior that damages the environment.",NA,NA,2,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP1","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government imposes severe penalties for corporate behavior that damages the environment.",NA,NA,3,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP1","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government imposes severe penalties for corporate behavior that damages the environment.",NA,NA,4,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP1","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government imposes severe penalties for corporate behavior that damages the environment.",NA,NA,5,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP1","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government imposes severe penalties for corporate behavior that damages the environment.",NA,NA,6,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP1","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government imposes severe penalties for corporate behavior that damages the environment.",NA,"total agreement",7,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP2","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government has established a series of strict environmental laws and regulations.",NA,"total disagreement",1,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP2","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government has established a series of strict environmental laws and regulations.",NA,NA,2,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP2","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government has established a series of strict environmental laws and regulations.",NA,NA,3,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP2","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government has established a series of strict environmental laws and regulations.",NA,NA,4,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP2","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government has established a series of strict environmental laws and regulations.",NA,NA,5,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP2","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government has established a series of strict environmental laws and regulations.",NA,NA,6,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP2","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government has established a series of strict environmental laws and regulations.",NA,"total agreement",7,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP3","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government publicizes the concept of green development in society through various channels.",NA,"total disagreement",1,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP3","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government publicizes the concept of green development in society through various channels.",NA,NA,2,"Chinese"
"zhang_2025_coercive_pressure","zhang_2025_coercive_pressure_1","CP3","Coercive Pressure (CP) scale, 4 items (Zhang et al. 2025, adapted from Dai et al. 2021 and Jiang et al. 2024)",NA,NA,"The government publicizes the concept of green development in society through various channels.",NA,NA,3,"Chinese"
