"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_1","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"interested",NA,"very slightly or not at all",1
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_1","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"interested",NA,"a little",2
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_1","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"interested",NA,"moderately",3
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_1","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"interested",NA,"quite a bit",4
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_1","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"interested",NA,"extremely",5
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_2","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"distressed",NA,"very slightly or not at all",1
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_2","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"distressed",NA,"a little",2
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_2","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"distressed",NA,"moderately",3
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_2","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"distressed",NA,"quite a bit",4
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_2","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"distressed",NA,"extremely",5
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_3","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"excited",NA,"very slightly or not at all",1
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_3","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"excited",NA,"a little",2
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_3","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"excited",NA,"moderately",3
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_3","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"excited",NA,"quite a bit",4
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_3","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"excited",NA,"extremely",5
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_4","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"upset",NA,"very slightly or not at all",1
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_4","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"upset",NA,"a little",2
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_4","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"upset",NA,"moderately",3
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_4","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"upset",NA,"quite a bit",4
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_4","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"upset",NA,"extremely",5
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_5","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"strong",NA,"very slightly or not at all",1
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_5","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"strong",NA,"a little",2
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_5","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"strong",NA,"moderately",3
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_5","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"strong",NA,"quite a bit",4
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_5","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"strong",NA,"extremely",5
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_6","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"guilty",NA,"very slightly or not at all",1
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_6","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"guilty",NA,"a little",2
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_6","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"guilty",NA,"moderately",3
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_6","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"guilty",NA,"quite a bit",4
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_6","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"guilty",NA,"extremely",5
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_7","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"scared",NA,"very slightly or not at all",1
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_7","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"scared",NA,"a little",2
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_7","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"scared",NA,"moderately",3
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_7","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"scared",NA,"quite a bit",4
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_7","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"scared",NA,"extremely",5
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_8","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"hostile",NA,"very slightly or not at all",1
"CV_OASIS_ODSIS_PPE_Novak_2020_PANAS","CV_OASIS_ODSIS_PPE_Novak_2020_PANAS_1","panas_8","Positive and Negative Affect Schedule (PANAS)","Czech",NA,NA,"hostile",NA,"a little",2
