"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"dss_mouta_2021","dss_mouta_2021_1","dss_01","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Prefiro ter todas as informações necessárias antes de me comprometer com uma decisão.","I prefer to gather all the necessary information before committing to a decision.",NA,"Discordo Fortemente","Strongly disagree",1
"dss_mouta_2021","dss_mouta_2021_1","dss_01","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Prefiro ter todas as informações necessárias antes de me comprometer com uma decisão.","I prefer to gather all the necessary information before committing to a decision.",NA,"Discordo","Disagree",2
"dss_mouta_2021","dss_mouta_2021_1","dss_01","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Prefiro ter todas as informações necessárias antes de me comprometer com uma decisão.","I prefer to gather all the necessary information before committing to a decision.",NA,"Neutro (nem concordo nem discordo)","Neutral (neither agree nor disagree)",3
"dss_mouta_2021","dss_mouta_2021_1","dss_01","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Prefiro ter todas as informações necessárias antes de me comprometer com uma decisão.","I prefer to gather all the necessary information before committing to a decision.",NA,"Concordo","Agree",4
"dss_mouta_2021","dss_mouta_2021_1","dss_01","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Prefiro ter todas as informações necessárias antes de me comprometer com uma decisão.","I prefer to gather all the necessary information before committing to a decision.",NA,"Concordo Fortemente","Strongly agree",5
"dss_mouta_2021","dss_mouta_2021_1","dss_02","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Quando tomo decisões, eu confio principalmente no meu instinto.","When making decisions, I rely mainly on my gut feelings.",NA,"Discordo Fortemente","Strongly disagree",1
"dss_mouta_2021","dss_mouta_2021_1","dss_02","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Quando tomo decisões, eu confio principalmente no meu instinto.","When making decisions, I rely mainly on my gut feelings.",NA,"Discordo","Disagree",2
"dss_mouta_2021","dss_mouta_2021_1","dss_02","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Quando tomo decisões, eu confio principalmente no meu instinto.","When making decisions, I rely mainly on my gut feelings.",NA,"Neutro (nem concordo nem discordo)","Neutral (neither agree nor disagree)",3
"dss_mouta_2021","dss_mouta_2021_1","dss_02","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Quando tomo decisões, eu confio principalmente no meu instinto.","When making decisions, I rely mainly on my gut feelings.",NA,"Concordo","Agree",4
"dss_mouta_2021","dss_mouta_2021_1","dss_02","Escala de Estilos de Decisão (DSS) -- Brazilian Portuguese adaptation of the Decision Styles Scale (Hamilton, Shih & Mohammed, 2016)","Portuguese","As questões seguintes se referem a como você toma decisões. Não existem respostas ""certas"" ou ""erradas"", então por favor dê sua opinião da forma mais honesta possível. Usando a escala abaixo, indique o quanto você concorda ou discorda das afirmações. Descreva como você está agora, não como você gostaria de estar no futuro:","The following questions refer to how you make decisions. There are no ""right"" or ""wrong"" answers, so please give your opinion as honestly as possible. Using the scale below, indicate how much you agree or disagree with the statements. Describe yourself as you are now, not as you would like to be in the future:",NA,NA,"Quando tomo decisões, eu confio principalmente no meu instinto.","When making decisions, I rely mainly on my gut feelings.",NA,"Concordo Fortemente","Strongly agree",5
