"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk1_sweets","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Eating too much sugar and other sweet foods is a cause of diabetes",NA,"Yes",1
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk1_sweets","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Eating too much sugar and other sweet foods is a cause of diabetes",NA,"No",2
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk1_sweets","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Eating too much sugar and other sweet foods is a cause of diabetes",NA,"Don’t know",3
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk2_insulin","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"The usual cause of diabetes is lack of effective insulin in the body.",NA,"Yes",1
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk2_insulin","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"The usual cause of diabetes is lack of effective insulin in the body.",NA,"No",2
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk2_insulin","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"The usual cause of diabetes is lack of effective insulin in the body.",NA,"Don’t know",3
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk3_obesity","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Do you think Obesity can contribute to diabetes",NA,"Yes",1
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk3_obesity","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Do you think Obesity can contribute to diabetes",NA,"No",2
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk3_obesity","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Do you think Obesity can contribute to diabetes",NA,"Don’t know",3
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk4_exer","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Do you think lack of exercise can contribute to diabetes",NA,"Yes",1
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk4_exer","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Do you think lack of exercise can contribute to diabetes",NA,"No",2
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk4_exer","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Do you think lack of exercise can contribute to diabetes",NA,"Don’t know",3
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk5_sugar","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"In untreated diabetes, the amount of sugar in the blood usually Increases",NA,"Yes",1
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk5_sugar","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"In untreated diabetes, the amount of sugar in the blood usually Increases",NA,"No",2
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk5_sugar","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"In untreated diabetes, the amount of sugar in the blood usually Increases",NA,"Don’t know",3
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk6_child","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"If I am diabetic, my children have a higher chance of being diabetic.",NA,"Yes",1
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk6_child","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"If I am diabetic, my children have a higher chance of being diabetic.",NA,"No",2
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk6_child","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"If I am diabetic, my children have a higher chance of being diabetic.",NA,"Don’t know",3
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk7_cure","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Diabetes can be cured",NA,"Yes",1
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk7_cure","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Diabetes can be cured",NA,"No",2
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk7_cure","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"Diabetes can be cured",NA,"Don’t know",3
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk8_urine","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"The best way to check my diabetes is by testing my urine",NA,"Yes",1
"afaya_2020_general_knowledge","afaya_2020_general_knowledge_1","gk8_urine","Afaya et al. (2020) diabetes knowledge questionnaire - Basic General Knowledge on Diabetes subscale","English; Dagbani",NA,NA,"The best way to check my diabetes is by testing my urine",NA,"No",2
