"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.1_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Las políticas de la organización siempre proporcionan a los empleados un ambiente de trabajo seguro y saludable.","Our organization's policies always provide a safe and healthy working environment for the employees",NA,"totalmente en desacuerdo","Totally disagree",1
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.1_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Las políticas de la organización siempre proporcionan a los empleados un ambiente de trabajo seguro y saludable.","Our organization's policies always provide a safe and healthy working environment for the employees",NA,"en desacuerdo","Disagree",2
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.1_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Las políticas de la organización siempre proporcionan a los empleados un ambiente de trabajo seguro y saludable.","Our organization's policies always provide a safe and healthy working environment for the employees",NA,"parcialmente en desacuerdo","Partially disagree",3
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.1_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Las políticas de la organización siempre proporcionan a los empleados un ambiente de trabajo seguro y saludable.","Our organization's policies always provide a safe and healthy working environment for the employees",NA,"ni de acuerdo, ni en desacuerdo","Not in disagree or agree",4
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.1_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Las políticas de la organización siempre proporcionan a los empleados un ambiente de trabajo seguro y saludable.","Our organization's policies always provide a safe and healthy working environment for the employees",NA,"parcialmente de acuerdo","Partially agree",5
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.1_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Las políticas de la organización siempre proporcionan a los empleados un ambiente de trabajo seguro y saludable.","Our organization's policies always provide a safe and healthy working environment for the employees",NA,"de acuerdo","Agree",6
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.1_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Las políticas de la organización siempre proporcionan a los empleados un ambiente de trabajo seguro y saludable.","Our organization's policies always provide a safe and healthy working environment for the employees",NA,"totalmente de acuerdo","Totally agree",7
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.2_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Con el objetivo que los empleados tengan un ambiente de trabajo confortable, la organización sigue siempre los últimos estándares en salud ocupacional (por ejemplo: teclados ergonómicos).","So that employees feel comfortable in their working environment, the company always follows the latest health standards (such as ergonomic keypads).",NA,"totalmente en desacuerdo","Totally disagree",1
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.2_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Con el objetivo que los empleados tengan un ambiente de trabajo confortable, la organización sigue siempre los últimos estándares en salud ocupacional (por ejemplo: teclados ergonómicos).","So that employees feel comfortable in their working environment, the company always follows the latest health standards (such as ergonomic keypads).",NA,"en desacuerdo","Disagree",2
"avilatamayo_2022_work_envir","avilatamayo_2022_work_envir_1","Work_Envir_2.2_1","Internal Corporate Social Responsibility Questionnaire (ICSR Q; Mory et al., 2016), Spanish-speaking version - Working environment dimension","Spanish","Las siguientes preguntas hacen referencia a varias características que se pueden presentar en su actual trabajo. Usando la escala que se presenta a continuación, indique en qué medida está de acuerdo con cada afirmación (1 = totalmente en desacuerdo, 2 = en desacuerdo, 3 = parcialmente en desacuerdo, 4 = ni de acuerdo, ni en desacuerdo, 5 = parcialmente de acuerdo, 6 = de acuerdo, 7 = totalmente de acuerdo.",NA,"Con el objetivo que los empleados tengan un ambiente de trabajo confortable, la organización sigue siempre los últimos estándares en salud ocupacional (por ejemplo: teclados ergonómicos).","So that employees feel comfortable in their working environment, the company always follows the latest health standards (such as ergonomic keypads).",NA,"parcialmente en desacuerdo","Partially disagree",3
