"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.diff.know.students","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Difficulty getting to know other students in class",NA,"Not selected",0
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.diff.know.students","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Difficulty getting to know other students in class",NA,"Selected",1
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.diff.help.students","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Difficulty getting help from other students in class",NA,"Not selected",0
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.diff.help.students","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Difficulty getting help from other students in class",NA,"Selected",1
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.talk.unknown","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Needing to talk with students who I don’t know during online group work",NA,"Not selected",0
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.talk.unknown","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Needing to talk with students who I don’t know during online group work",NA,"Selected",1
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.diff.know.instructor","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Difficulty getting to know instructors",NA,"Not selected",0
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.diff.know.instructor","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Difficulty getting to know instructors",NA,"Selected",1
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.diff.help.instructor","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Difficulty getting help from instructors",NA,"Not selected",0
"busch_2022_course_exacerbate","busch_2022_course_exacerbate_1","idep.diff.help.instructor","Aspects of online college science courses that exacerbate depression checklist (Busch et al. 2022)","Please answer the following questions about the SCIENCE courses that you have completed at Arizona State University. We are interested in creating more inclusive environments for students with depression at ASU. For this reason, we will be asking you a set of questions about your experience with depression in online courses. Please feel free to skip any question you do not want to answer. Please select all aspects of ONLINE college science courses that might make your feelings of depression worse.",NA,"Difficulty getting help from instructors",NA,"Selected",1
