"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","resp","option_text"
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"A problem has little attraction for me if I don't think it has a solution.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"A problem has little attraction for me if I don't think it has a solution.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"A problem has little attraction for me if I don't think it has a solution.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"A problem has little attraction for me if I don't think it has a solution.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"A problem has little attraction for me if I don't think it has a solution.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"A problem has little attraction for me if I don't think it has a solution.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"A problem has little attraction for me if I don't think it has a solution.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I prefer just to let things happen rather than try to understand why they turned out that way.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I prefer just to let things happen rather than try to understand why they turned out that way.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I prefer just to let things happen rather than try to understand why they turned out that way.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I prefer just to let things happen rather than try to understand why they turned out that way.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I prefer just to let things happen rather than try to understand why they turned out that way.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I prefer just to let things happen rather than try to understand why they turned out that way.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I prefer just to let things happen rather than try to understand why they turned out that way.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I am hesitant about making important decisions after thinking about them.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I am hesitant about making important decisions after thinking about them.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I am hesitant about making important decisions after thinking about them.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I am hesitant about making important decisions after thinking about them.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I am hesitant about making important decisions after thinking about them.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I am hesitant about making important decisions after thinking about them.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Cog_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I am hesitant about making important decisions after thinking about them.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I get so charged up emotionally that I am unable to consider many ways of dealing with my problems.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I get so charged up emotionally that I am unable to consider many ways of dealing with my problems.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I get so charged up emotionally that I am unable to consider many ways of dealing with my problems.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I get so charged up emotionally that I am unable to consider many ways of dealing with my problems.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I get so charged up emotionally that I am unable to consider many ways of dealing with my problems.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I get so charged up emotionally that I am unable to consider many ways of dealing with my problems.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I get so charged up emotionally that I am unable to consider many ways of dealing with my problems.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I look back on what has happened to me, I can't help feeling resentful.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I look back on what has happened to me, I can't help feeling resentful.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I look back on what has happened to me, I can't help feeling resentful.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I look back on what has happened to me, I can't help feeling resentful.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I look back on what has happened to me, I can't help feeling resentful.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I look back on what has happened to me, I can't help feeling resentful.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_3","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"When I look back on what has happened to me, I can't help feeling resentful.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I either get very angry or depressed if things go wrong.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I either get very angry or depressed if things go wrong.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I either get very angry or depressed if things go wrong.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I either get very angry or depressed if things go wrong.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I either get very angry or depressed if things go wrong.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I either get very angry or depressed if things go wrong.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Refl_4","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I either get very angry or depressed if things go wrong.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I can be comfortable with all kinds of people.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I can be comfortable with all kinds of people.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I can be comfortable with all kinds of people.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I can be comfortable with all kinds of people.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I can be comfortable with all kinds of people.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I can be comfortable with all kinds of people.",NA,6,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_1","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"I can be comfortable with all kinds of people.",NA,7,"strongly agree"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I feel a real compassion for everyone.",NA,1,"strongly disagree"
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I feel a real compassion for everyone.",NA,2,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I feel a real compassion for everyone.",NA,3,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I feel a real compassion for everyone.",NA,4,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I feel a real compassion for everyone.",NA,5,NA
"pellerin2020_3dws","pellerin2020_3dws_1","Aff_2","12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12)","French",NA,NA,"Sometimes I feel a real compassion for everyone.",NA,6,NA
