"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_AcidRefluxheartburn","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Acid Reflux (heartburn)",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_AcidRefluxheartburn","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Acid Reflux (heartburn)",NA,"Yes",1
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Anxiety","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Anxiety",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Anxiety","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Anxiety",NA,"Yes",1
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Arthritis","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Arthritis",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Arthritis","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Arthritis",NA,"Yes",1
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Asthma","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Asthma",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Asthma","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Asthma",NA,"Yes",1
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_BackPain","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Back Pain",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_BackPain","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Back Pain",NA,"Yes",1
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_CoronaryArteryDisease","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Coronary Artery Disease",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_CoronaryArteryDisease","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Coronary Artery Disease",NA,"Yes",1
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Depression","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Depression",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Depression","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Depression",NA,"Yes",1
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Diabetes","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Diabetes",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Diabetes","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Diabetes",NA,"Yes",1
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Fibromyalgia","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Fibromyalgia or Chronic Fatigue",NA,"No",0
"FACIT_YOUNT_2021_clinic10","FACIT_YOUNT_2021_clinic10_1","clinic10ever1_Fibromyalgia","FACIT Dyspnea (NWHR0004) survey medical-conditions checklist (question 10, ever-had responses)",NA,NA,"Ever had condition - Fibromyalgia or Chronic Fatigue",NA,"Yes",1
