"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri1","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Played chess.",NA,"NEVER in my life",1
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri1","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Played chess.",NA,"Not in the past year",2
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri1","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Played chess.",NA,"ONCE or TWICE in the past year",3
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri1","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Played chess.",NA,"THREE or MORE times in the past year, but not more than 15 times (such as once or twice a month)",4
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri1","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Played chess.",NA,"MORE THAN 15 TIMES in the past year",5
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri2","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Shot a gun.",NA,"NEVER in my life",1
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri2","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Shot a gun.",NA,"Not in the past year",2
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri2","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Shot a gun.",NA,"ONCE or TWICE in the past year",3
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri2","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Shot a gun.",NA,"THREE or MORE times in the past year, but not more than 15 times (such as once or twice a month)",4
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri2","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Shot a gun.",NA,"MORE THAN 15 TIMES in the past year",5
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri3","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Drank four or more soft drinks a day.",NA,"NEVER in my life",1
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri3","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Drank four or more soft drinks a day.",NA,"Not in the past year",2
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri3","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Drank four or more soft drinks a day.",NA,"ONCE or TWICE in the past year",3
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri3","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Drank four or more soft drinks a day.",NA,"THREE or MORE times in the past year, but not more than 15 times (such as once or twice a month)",4
"goldberg_2018_bri_bri","goldberg_2018_bri_bri_1","bri3","Behavioral Report Inventory (BRI)","Here are things that people sometimes do. Please indicate how frequently you have done each of them, using the following scale:",NA,"Drank four or more soft drinks a day.",NA,"MORE THAN 15 TIMES in the past year",5
