"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_1","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"No se hacen eco de bulos ni mentiras","They do not echo hoaxes or lies",NA,"Muy de acuerdo","Strongly agree",1
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_1","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"No se hacen eco de bulos ni mentiras","They do not echo hoaxes or lies",NA,"De acuerdo","Agree",2
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_1","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"No se hacen eco de bulos ni mentiras","They do not echo hoaxes or lies",NA,"En desacuerdo","Disagree",4
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_1","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"No se hacen eco de bulos ni mentiras","They do not echo hoaxes or lies",NA,"Muy en desacuerdo","Strongly disagree",5
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_2","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"Dan acceso a diferentes tipos de opinión","They give access to different kinds of opinion",NA,"Muy de acuerdo","Strongly agree",1
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_2","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"Dan acceso a diferentes tipos de opinión","They give access to different kinds of opinion",NA,"De acuerdo","Agree",2
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_2","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"Dan acceso a diferentes tipos de opinión","They give access to different kinds of opinion",NA,"En desacuerdo","Disagree",4
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_2","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"Dan acceso a diferentes tipos de opinión","They give access to different kinds of opinion",NA,"Muy en desacuerdo","Strongly disagree",5
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_3","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"Están concentrados en pocas manos o grupos de comunicación","They are concentrated in a few hands or media groups",NA,"Muy de acuerdo","Strongly agree",1
"spain_2025_democracy_media","spain_2025_democracy_media_1","p5me_3","CIS Estudio 3497, Calidad de la democracia (III), P.5 (medios de comunicación españoles, P5ME)","Spanish","En general, sobre los medios de comunicación españoles, ¿me podría decir si Ud. está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con las siguientes afirmaciones? (ENTREVISTADOR/A: LEA CADA UNO DE ELLOS Y ANOTE LA RESPUESTA).","In general, regarding the Spanish news media, could you tell me whether you strongly agree, agree, disagree or strongly disagree with the following statements? (INTERVIEWER: READ EACH ONE OUT AND RECORD THE ANSWER).",NA,NA,"Están concentrados en pocas manos o grupos de comunicación","They are concentrated in a few hands or media groups",NA,"De acuerdo","Agree",2
