"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,"Ninguna prioridad","No priority at all",0
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,1
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,2
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,3
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,4
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,5
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,6
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,7
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,8
"spain_2025_ageism_elderpriority","spain_2025_ageism_elderpriority_1","p6_1","Centro de Investigaciones Sociológicas, Estudio 3493 'Edadismo', P.6 (priority of public measures to improve the situation of older people, [P6])","Spanish","Le voy a leer una serie de medidas para mejorar la situación de las personas mayores. Dígame, por favor, con qué prioridad cree que deberían llevarse a cabo estas medidas por parte de los poderes públicos. Utilice una escala de 0 a 10, en la que 0 significa que no tiene ninguna prioridad y 10 que tiene la máxima prioridad","I am going to read you a series of measures to improve the situation of older people. Please tell me with what priority you think these measures should be carried out by the public authorities. Use a scale from 0 to 10, where 0 means it has no priority at all and 10 that it has the highest priority",NA,NA,"Subir la cuantía de las pensiones de jubilación","Raising the amount of retirement pensions",NA,NA,NA,9
