"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","raw_resp"
"polca_carcinoma","polca_carcinoma_1","A","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist A: is carcinoma present in this slide?]",NA,"no",0,1
"polca_carcinoma","polca_carcinoma_1","A","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist A: is carcinoma present in this slide?]",NA,"yes",1,2
"polca_carcinoma","polca_carcinoma_1","B","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist B: is carcinoma present in this slide?]",NA,"no",0,1
"polca_carcinoma","polca_carcinoma_1","B","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist B: is carcinoma present in this slide?]",NA,"yes",1,2
"polca_carcinoma","polca_carcinoma_1","C","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist C: is carcinoma present in this slide?]",NA,"no",0,1
"polca_carcinoma","polca_carcinoma_1","C","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist C: is carcinoma present in this slide?]",NA,"yes",1,2
"polca_carcinoma","polca_carcinoma_1","D","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist D: is carcinoma present in this slide?]",NA,"no",0,1
"polca_carcinoma","polca_carcinoma_1","D","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist D: is carcinoma present in this slide?]",NA,"yes",1,2
"polca_carcinoma","polca_carcinoma_1","E","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist E: is carcinoma present in this slide?]",NA,"no",0,1
"polca_carcinoma","polca_carcinoma_1","E","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist E: is carcinoma present in this slide?]",NA,"yes",1,2
"polca_carcinoma","polca_carcinoma_1","F","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist F: is carcinoma present in this slide?]",NA,"no",0,1
"polca_carcinoma","polca_carcinoma_1","F","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist F: is carcinoma present in this slide?]",NA,"yes",1,2
"polca_carcinoma","polca_carcinoma_1","G","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist G: is carcinoma present in this slide?]",NA,"no",0,1
"polca_carcinoma","polca_carcinoma_1","G","Dichotomous ratings by seven pathologists of 118 slides for the presence or absence of carcinoma in the uterine cervix (Agresti 2002, Categorical Data Analysis 2nd ed., Table 13.1, p. 542), distributed as the carcinoma data set in the poLCA R package","Each pathologist rated every slide for the presence or absence of carcinoma in the uterine cervix. The source codes 1 as “no” and 2 as “yes”; data/polca.R subtracts 1, so the live resp is 0 = no carcinoma and 1 = carcinoma.",NA,"[rating by pathologist G: is carcinoma present in this slide?]",NA,"yes",1,2
