"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"imos_2011","imos_2011_1","problem1","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Given any set A = {a1, a2, a3, a4} of four distinct positive integers, we denote the sum a1 + a2 + a3 + a4 by sA. Let nA denote the number of pairs (i, j) with 1 ≤i < j ≤4 for which ai + aj divides sA. Find all sets A of four distinct positive integers which achieve the largest possible value of nA",NA,NA,0
"imos_2011","imos_2011_1","problem1","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Given any set A = {a1, a2, a3, a4} of four distinct positive integers, we denote the sum a1 + a2 + a3 + a4 by sA. Let nA denote the number of pairs (i, j) with 1 ≤i < j ≤4 for which ai + aj divides sA. Find all sets A of four distinct positive integers which achieve the largest possible value of nA",NA,NA,1
"imos_2011","imos_2011_1","problem1","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Given any set A = {a1, a2, a3, a4} of four distinct positive integers, we denote the sum a1 + a2 + a3 + a4 by sA. Let nA denote the number of pairs (i, j) with 1 ≤i < j ≤4 for which ai + aj divides sA. Find all sets A of four distinct positive integers which achieve the largest possible value of nA",NA,NA,2
"imos_2011","imos_2011_1","problem1","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Given any set A = {a1, a2, a3, a4} of four distinct positive integers, we denote the sum a1 + a2 + a3 + a4 by sA. Let nA denote the number of pairs (i, j) with 1 ≤i < j ≤4 for which ai + aj divides sA. Find all sets A of four distinct positive integers which achieve the largest possible value of nA",NA,NA,3
"imos_2011","imos_2011_1","problem1","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Given any set A = {a1, a2, a3, a4} of four distinct positive integers, we denote the sum a1 + a2 + a3 + a4 by sA. Let nA denote the number of pairs (i, j) with 1 ≤i < j ≤4 for which ai + aj divides sA. Find all sets A of four distinct positive integers which achieve the largest possible value of nA",NA,NA,4
"imos_2011","imos_2011_1","problem1","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Given any set A = {a1, a2, a3, a4} of four distinct positive integers, we denote the sum a1 + a2 + a3 + a4 by sA. Let nA denote the number of pairs (i, j) with 1 ≤i < j ≤4 for which ai + aj divides sA. Find all sets A of four distinct positive integers which achieve the largest possible value of nA",NA,NA,5
"imos_2011","imos_2011_1","problem1","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Given any set A = {a1, a2, a3, a4} of four distinct positive integers, we denote the sum a1 + a2 + a3 + a4 by sA. Let nA denote the number of pairs (i, j) with 1 ≤i < j ≤4 for which ai + aj divides sA. Find all sets A of four distinct positive integers which achieve the largest possible value of nA",NA,NA,6
"imos_2011","imos_2011_1","problem1","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Given any set A = {a1, a2, a3, a4} of four distinct positive integers, we denote the sum a1 + a2 + a3 + a4 by sA. Let nA denote the number of pairs (i, j) with 1 ≤i < j ≤4 for which ai + aj divides sA. Find all sets A of four distinct positive integers which achieve the largest possible value of nA",NA,NA,7
"imos_2011","imos_2011_1","problem2","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Let S be a finite set of at least two points in the plane. Assume that no three points of S are collinear. A windmill is a process that starts with a line ℓgoing through a single point P ∈S. The line rotates clockwise about the pivot P until the first time that the line meets some other point belonging to S. This point, Q, takes over as the new pivot, and the line now rotates clockwise about Q, until it next meets a point of S. This process continues indefinitely. Show that we can choose a point P in S and a line ℓgoing through P such that the resulting windmill uses each point of S as a pivot infinitely many times",NA,NA,0
"imos_2011","imos_2011_1","problem2","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Let S be a finite set of at least two points in the plane. Assume that no three points of S are collinear. A windmill is a process that starts with a line ℓgoing through a single point P ∈S. The line rotates clockwise about the pivot P until the first time that the line meets some other point belonging to S. This point, Q, takes over as the new pivot, and the line now rotates clockwise about Q, until it next meets a point of S. This process continues indefinitely. Show that we can choose a point P in S and a line ℓgoing through P such that the resulting windmill uses each point of S as a pivot infinitely many times",NA,NA,1
"imos_2011","imos_2011_1","problem2","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Let S be a finite set of at least two points in the plane. Assume that no three points of S are collinear. A windmill is a process that starts with a line ℓgoing through a single point P ∈S. The line rotates clockwise about the pivot P until the first time that the line meets some other point belonging to S. This point, Q, takes over as the new pivot, and the line now rotates clockwise about Q, until it next meets a point of S. This process continues indefinitely. Show that we can choose a point P in S and a line ℓgoing through P such that the resulting windmill uses each point of S as a pivot infinitely many times",NA,NA,2
"imos_2011","imos_2011_1","problem2","International Mathematical Olympiad 2011, official English problem paper (imo-official.org/assets/documents/problems/2011/2011_eng.pdf)","Each problem is worth 7 points. Contestants sat three problems per day over two days, with 4 hours 30 minutes per day.","Day 1","Let S be a finite set of at least two points in the plane. Assume that no three points of S are collinear. A windmill is a process that starts with a line ℓgoing through a single point P ∈S. The line rotates clockwise about the pivot P until the first time that the line meets some other point belonging to S. This point, Q, takes over as the new pivot, and the line now rotates clockwise about Q, until it next meets a point of S. This process continues indefinitely. Show that we can choose a point P in S and a line ℓgoing through P such that the resulting windmill uses each point of S as a pivot infinitely many times",NA,NA,3
