"table","mapping_basis","text_source","translation_source","key_source","source_ref","note","public_note","uploaded"
"imos_1992","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain -- confirmed on the source page's structured metadata, not only in biblio.csv. Item text: the official English problem paper published by the International Mathematical Olympiad, imo-official.org/assets/documents/problems/1992/1992_eng.pdf.","THE MAPPING NEEDS NO INFERENCE AT ALL: the live codes are problem1..problem6 and the official paper prints Problems 1 to 6. Each is marked out of 7 by the coordinators, which is the live 0-7 scale, and the six split three per day over two days -- carried in section_prompt. The persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED AND THAT IS A KNOWN LIMIT, agreed before extraction (#2228). item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost -- n squared appears as 'n2', a-sub-1 as 'a1', one-over-n as '1 n'. Mechanical artefacts WERE repaired: big delimiters that extracted as micro/pilcrow characters, fi and fl ligatures dropped by the font, and stray page numbers, 16 of 60 strings touched across the batch. The flattening itself is inherent to text extraction and is not something this project can vouch for symbol by symbol, so a reader who needs the exact statement should use the source PDF named above. The alternative -- rendering every page and transcribing 60 problems by eye -- was considered and declined as disproportionate.","The six problems of the 1992 International Mathematical Olympiad, each marked out of 7. Contestants sat problems 1-3 on the first day and 4-6 on the second, with four and a half hours for each paper. The problem statements are taken from the official English paper. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2' and one-over-n as '1 n'. Use the official PDF if you need the exact statement.","2026-09-20"
"imos_1995","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain -- confirmed on the source page's structured metadata, not only in biblio.csv. Item text: the official English problem paper published by the International Mathematical Olympiad, imo-official.org/assets/documents/problems/1995/1995_eng.pdf.","THE MAPPING NEEDS NO INFERENCE AT ALL: the live codes are problem1..problem6 and the official paper prints Problems 1 to 6. Each is marked out of 7 by the coordinators, which is the live 0-7 scale, and the six split three per day over two days -- carried in section_prompt. The persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED AND THAT IS A KNOWN LIMIT, agreed before extraction (#2228). item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost -- n squared appears as 'n2', a-sub-1 as 'a1', one-over-n as '1 n'. Mechanical artefacts WERE repaired: big delimiters that extracted as micro/pilcrow characters, fi and fl ligatures dropped by the font, and stray page numbers, 16 of 60 strings touched across the batch. The flattening itself is inherent to text extraction and is not something this project can vouch for symbol by symbol, so a reader who needs the exact statement should use the source PDF named above. The alternative -- rendering every page and transcribing 60 problems by eye -- was considered and declined as disproportionate.","The six problems of the 1995 International Mathematical Olympiad, each marked out of 7. Contestants sat problems 1-3 on the first day and 4-6 on the second, with four and a half hours for each paper. The problem statements are taken from the official English paper. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2' and one-over-n as '1 n'. Use the official PDF if you need the exact statement.","2026-09-20"
"imos_1998","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain -- confirmed on the source page's structured metadata, not only in biblio.csv. Item text: the official English problem paper published by the International Mathematical Olympiad, imo-official.org/assets/documents/problems/1998/1998_eng.pdf.","THE MAPPING NEEDS NO INFERENCE AT ALL: the live codes are problem1..problem6 and the official paper prints Problems 1 to 6. Each is marked out of 7 by the coordinators, which is the live 0-7 scale, and the six split three per day over two days -- carried in section_prompt. The persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED AND THAT IS A KNOWN LIMIT, agreed before extraction (#2228). item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost -- n squared appears as 'n2', a-sub-1 as 'a1', one-over-n as '1 n'. Mechanical artefacts WERE repaired: big delimiters that extracted as micro/pilcrow characters, fi and fl ligatures dropped by the font, and stray page numbers, 16 of 60 strings touched across the batch. The flattening itself is inherent to text extraction and is not something this project can vouch for symbol by symbol, so a reader who needs the exact statement should use the source PDF named above. The alternative -- rendering every page and transcribing 60 problems by eye -- was considered and declined as disproportionate.","The six problems of the 1998 International Mathematical Olympiad, each marked out of 7. Contestants sat problems 1-3 on the first day and 4-6 on the second, with four and a half hours for each paper. The problem statements are taken from the official English paper. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2' and one-over-n as '1 n'. Use the official PDF if you need the exact statement.","2026-09-20"
"imos_2000","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain -- confirmed on the source page's structured metadata, not only in biblio.csv. Item text: the official English problem paper published by the International Mathematical Olympiad, imo-official.org/assets/documents/problems/2000/2000_eng.pdf.","THE MAPPING NEEDS NO INFERENCE AT ALL: the live codes are problem1..problem6 and the official paper prints Problems 1 to 6. Each is marked out of 7 by the coordinators, which is the live 0-7 scale, and the six split three per day over two days -- carried in section_prompt. The persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED AND THAT IS A KNOWN LIMIT, agreed before extraction (#2228). item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost -- n squared appears as 'n2', a-sub-1 as 'a1', one-over-n as '1 n'. Mechanical artefacts WERE repaired: big delimiters that extracted as micro/pilcrow characters, fi and fl ligatures dropped by the font, and stray page numbers, 16 of 60 strings touched across the batch. The flattening itself is inherent to text extraction and is not something this project can vouch for symbol by symbol, so a reader who needs the exact statement should use the source PDF named above. The alternative -- rendering every page and transcribing 60 problems by eye -- was considered and declined as disproportionate.","The six problems of the 2000 International Mathematical Olympiad, each marked out of 7. Contestants sat problems 1-3 on the first day and 4-6 on the second, with four and a half hours for each paper. The problem statements are taken from the official English paper. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2' and one-over-n as '1 n'. Use the official PDF if you need the exact statement.","2026-09-20"
"imos_2002","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain -- confirmed on the source page's structured metadata, not only in biblio.csv. Item text: the official English problem paper published by the International Mathematical Olympiad, imo-official.org/assets/documents/problems/2002/2002_eng.pdf.","THE MAPPING NEEDS NO INFERENCE AT ALL: the live codes are problem1..problem6 and the official paper prints Problems 1 to 6. Each is marked out of 7 by the coordinators, which is the live 0-7 scale, and the six split three per day over two days -- carried in section_prompt. The persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED AND THAT IS A KNOWN LIMIT, agreed before extraction (#2228). item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost -- n squared appears as 'n2', a-sub-1 as 'a1', one-over-n as '1 n'. Mechanical artefacts WERE repaired: big delimiters that extracted as micro/pilcrow characters, fi and fl ligatures dropped by the font, and stray page numbers, 16 of 60 strings touched across the batch. The flattening itself is inherent to text extraction and is not something this project can vouch for symbol by symbol, so a reader who needs the exact statement should use the source PDF named above. The alternative -- rendering every page and transcribing 60 problems by eye -- was considered and declined as disproportionate.","The six problems of the 2002 International Mathematical Olympiad, each marked out of 7. Contestants sat problems 1-3 on the first day and 4-6 on the second, with four and a half hours for each paper. The problem statements are taken from the official English paper. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2' and one-over-n as '1 n'. Use the official PDF if you need the exact statement.","2026-09-20"
"imos_2003","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain -- confirmed on the source page's structured metadata, not only in biblio.csv. Item text: the official English problem paper published by the International Mathematical Olympiad, imo-official.org/assets/documents/problems/2003/2003_eng.pdf.","THE MAPPING NEEDS NO INFERENCE AT ALL: the live codes are problem1..problem6 and the official paper prints Problems 1 to 6. Each is marked out of 7 by the coordinators, which is the live 0-7 scale, and the six split three per day over two days -- carried in section_prompt. The persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED AND THAT IS A KNOWN LIMIT, agreed before extraction (#2228). item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost -- n squared appears as 'n2', a-sub-1 as 'a1', one-over-n as '1 n'. Mechanical artefacts WERE repaired: big delimiters that extracted as micro/pilcrow characters, fi and fl ligatures dropped by the font, and stray page numbers, 16 of 60 strings touched across the batch. The flattening itself is inherent to text extraction and is not something this project can vouch for symbol by symbol, so a reader who needs the exact statement should use the source PDF named above. The alternative -- rendering every page and transcribing 60 problems by eye -- was considered and declined as disproportionate.","The six problems of the 2003 International Mathematical Olympiad, each marked out of 7. Contestants sat problems 1-3 on the first day and 4-6 on the second, with four and a half hours for each paper. The problem statements are taken from the official English paper. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2' and one-over-n as '1 n'. Use the official PDF if you need the exact statement.","2026-09-20"
"imos_2007","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain -- confirmed on the source page's structured metadata, not only in biblio.csv. Item text: the official English problem paper published by the International Mathematical Olympiad, imo-official.org/assets/documents/problems/2007/2007_eng.pdf.","THE MAPPING NEEDS NO INFERENCE AT ALL: the live codes are problem1..problem6 and the official paper prints Problems 1 to 6. Each is marked out of 7 by the coordinators, which is the live 0-7 scale, and the six split three per day over two days -- carried in section_prompt. The persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED AND THAT IS A KNOWN LIMIT, agreed before extraction (#2228). item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost -- n squared appears as 'n2', a-sub-1 as 'a1', one-over-n as '1 n'. Mechanical artefacts WERE repaired: big delimiters that extracted as micro/pilcrow characters, fi and fl ligatures dropped by the font, and stray page numbers, 16 of 60 strings touched across the batch. The flattening itself is inherent to text extraction and is not something this project can vouch for symbol by symbol, so a reader who needs the exact statement should use the source PDF named above. The alternative -- rendering every page and transcribing 60 problems by eye -- was considered and declined as disproportionate.","The six problems of the 2007 International Mathematical Olympiad, each marked out of 7. Contestants sat problems 1-3 on the first day and 4-6 on the second, with four and a half hours for each paper. The problem statements are taken from the official English paper. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2' and one-over-n as '1 n'. Use the official PDF if you need the exact statement.","2026-09-20"
"imos_2011","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores' (kaggle.com/datasets/luckyt/imo-scores), CC0 1.0 Public Domain -- confirmed on the source page's structured metadata, not only in biblio.csv. Item text: the official English problem paper published by the International Mathematical Olympiad, imo-official.org/assets/documents/problems/2011/2011_eng.pdf.","THE MAPPING NEEDS NO INFERENCE AT ALL: the live codes are problem1..problem6 and the official paper prints Problems 1 to 6. Each is marked out of 7 by the coordinators, which is the live 0-7 scale, and the six split three per day over two days -- carried in section_prompt. The persons are contestants. THE MATHEMATICAL NOTATION IS FLATTENED AND THAT IS A KNOWN LIMIT, agreed before extraction (#2228). item_text is a plain-text extraction of the official PDF, so display equations run inline and superscripts and fractions are lost -- n squared appears as 'n2', a-sub-1 as 'a1', one-over-n as '1 n'. Mechanical artefacts WERE repaired: big delimiters that extracted as micro/pilcrow characters, fi and fl ligatures dropped by the font, and stray page numbers, 16 of 60 strings touched across the batch. The flattening itself is inherent to text extraction and is not something this project can vouch for symbol by symbol, so a reader who needs the exact statement should use the source PDF named above. The alternative -- rendering every page and transcribing 60 problems by eye -- was considered and declined as disproportionate.","The six problems of the 2011 International Mathematical Olympiad, each marked out of 7. Contestants sat problems 1-3 on the first day and 4-6 on the second, with four and a half hours for each paper. The problem statements are taken from the official English paper. NOTE ON NOTATION: the text is extracted from a PDF, so mathematical layout is flattened -- superscripts and fractions are lost, so n squared reads as 'n2' and one-over-n as '1 n'. Use the official PDF if you need the exact statement.","2026-09-20"
"imos_2016","data_labels","study_materials","","","Response data: Kaggle dataset 'imo-scores', CC0 1.0 Public Domain, confirmed on the source page. Item text: the official English paper, imo-official.org/assets/documents/problems/2016/2016_eng.pdf, transcribed from page images rendered at 150 dpi.","THE MAPPING NEEDS NO INFERENCE: problem1..problem6 are the paper's Problems 1 to 6, marked out of 7, three per day. 2016 IS THE ONE YEAR WHOSE NOTATION IS CORRECT, and for an awkward reason. Its PDF carries a symbol-font text layer that extracts as mojibake -- the header comes out as a run of dingbats where 'Monday, July 11, 2016' should be -- which is the same failure as the Kruti-Dev Hindi booklets in batch_203. Rather than ship garbage the pages were rendered at 150 dpi and read as images, so superscripts and subscripts survive here: P(n) = n^2 + n + 1 and A_1 A_2 ... A_k are written as such. The eight text-extracted years in this batch lose exactly that, so 2016 is better than its siblings rather than worse. The transcription is by hand and has not been checked symbol by symbol against the source.","The six problems of the 2016 International Mathematical Olympiad, each marked out of 7, three on each of two days. The statements were read from images of the official English paper because its PDF text layer is corrupted, which means the mathematical notation here is more faithful than in the other Olympiad years in this batch -- superscripts and subscripts are preserved.","2026-09-20"
"ipip_openpsychometrics_sc","data_labels","study_materials","","","openpsychometrics.org/_rawdata/, archive 'AS+SC+AD+DO', CC BY 4.0. The archive ships codebook.txt beside data.csv; the codebook names the four IPIP scales with their ipip.ori.org keys, gives the response anchors verbatim, states that all items were prefixed with ""I "", and lists all forty items against their codes. Codes assigned by data/ipip_openpsychometrics.r via select(starts_with(...)) with names kept.","ONE CODEBOOK SUPPLIES EVERYTHING AND THE SCRIPT RENAMES NOTHING, so there is no mapping step: the live code IS the codebook's code. TWO DELIBERATE DEVIATIONS FROM THE CODEBOOK'S LITERAL TEXT, both small and both disclosed here. (1) The codebook prints each item capitalised as a standalone list entry ('Feel comfortable around people.') while stating that all were prefixed with ""I ""; the administered sentence is therefore 'I feel comfortable around people.', so the first letter is lowercased when the prefix is applied. No other character is changed. (2) The codebook's anchor list contains a typo -- 'Neither agree not disagree' -- which ships corrected as 'Neither agree nor disagree'. THE SCALE STARTS AT 1 BECAUSE 0 MEANS UNANSWERED: the raw data codes a skipped item 0 and the processing script drops those with df[df$resp != 0, ], so all five labelled points 1-5 appear and nothing else does. This table is the Social Confidence scale (ipip.ori.org/newJPI-RKey.htm#Social-Confidence), ten items SC1-SC10, administered as part of an online DISC personality test alongside Assertiveness, Adventurousness and Dominance.","Ten items from the International Personality Item Pool's Social Confidence scale, answered from 1 (strongly disagree) to 5 (strongly agree). Each item completes the stem 'I ...'. They were given as part of an online personality test alongside three other IPIP scales. A sixth response option meaning 'not answered' was recorded as 0 in the raw data and removed before this table was built.","2026-09-20"
