"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL1","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","boat",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL1","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","boat",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL2","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","incoherent",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL2","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","incoherent",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL3","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","pallid",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL3","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","pallid",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL4","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","robot",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL4","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","robot",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL5","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","audible",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL5","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","audible",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_2","VCL6","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Fake word (not an English word; checking it indicates over-claiming)","cuivocal",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_2","VCL6","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Fake word (not an English word; checking it indicates over-claiming)","cuivocal",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL7","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","paucity",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL7","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","paucity",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL8","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","epistemology",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL8","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","epistemology",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_2","VCL9","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Fake word (not an English word; checking it indicates over-claiming)","florted",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_2","VCL9","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Fake word (not an English word; checking it indicates over-claiming)","florted",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL10","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","decide",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL10","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","decide",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL11","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","pastiche",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL11","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","pastiche",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_2","VCL12","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Fake word (not an English word; checking it indicates over-claiming)","verdid",NA,"not checked",0
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_2","VCL12","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Fake word (not an English word; checking it indicates over-claiming)","verdid",NA,"checked -- sure I know the definition",1
"gcbs_brotherton_2013_vcl","gcbs_brotherton_2013_vcl_1","VCL13","Vocabulary check-list administered alongside the Generic Conspiracist Beliefs Scale (Brotherton, French & Pickering 2013, Frontiers in Psychology 4:279), openpsychometrics.org/_rawdata/ (GCBS archive)","In the grid below, check all the words whose definitions you are sure you know.","Real word","abysmal",NA,"not checked",0
