"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","language"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP1r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Feeling comfortable and safe.",NA,"I feel secure and at ease in all areas of my life.",1,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP1r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Feeling comfortable and safe.",NA,"I feel secure and at ease in many areas of my life.",2,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP1r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Feeling comfortable and safe.",NA,"In some areas of my life, I am able to feel secure and at ease.",3,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP1r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Feeling comfortable and safe.",NA,"On no area of my life, I am able to feel secure and at ease.",4,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP2r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Love, friendship, and support.",NA,"I am able to have a lot of love, friendship, and support.",1,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP2r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Love, friendship, and support.",NA,"I am capable of having quite a lot of love, friendship, and support.",2,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP2r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Love, friendship, and support.",NA,"I am capable of having a little love, friendship, and support.",3,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP2r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Love, friendship, and support.",NA,"I am not capable of having love, friendship, and support.",4,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP3r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Being independent.",NA,"I am able to be completely independent.",1,"Dutch"
"IJLS_Eersel_2024_ICECAP","IJLS_Eersel_2024_ICECAP_1","ICECAP3r","ICECAP-A capability wellbeing measure, five attributes, Dutch administration. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118. Deposit doi:10.34894/FDDFTJ (DataverseNL, CC0): item wording and per-item response labels are the SPSS variable and value labels of 'IJLS [dataset].sav', corroborated by IJLS_readme.txt, which lists the same wording and coding and states '[all items were translated from Dutch to English]'. item_text is the attribute the source names; the four response options are full statements, shipped verbatim from the value labels. The 'r' suffix and the '(reversed)' note in the source labels mark that 1 is the most capable level and 4 the least.",NA,NA,"Being independent.",NA,"I am able to be independent in many things.",2,"Dutch"
