"table","mapping_basis","text_source","translation_source","key_source","source_ref","note","public_note","uploaded"
"IJLS_Eersel_2024_ICECAP","data_labels","translated_substitute","study_supplied","","DataverseNL doi:10.34894/FDDFTJ (CC0), 'IJLS [dataset].sav' and IJLS_readme.txt. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118.","NO MAPPING STEP: the live item codes are the .sav's own column names, and every column carries both its item (variable label) and its response options (value labels), which IJLS_readme.txt repeats independently. LANGUAGE: the readme states '[all items were translated from Dutch to English]', so the study was administered in Dutch, no Dutch text is deposited, and the English ships in the base fields with language=Dutch -- the documented fallback rather than a default. ICECAP-A is unusual in shape and the source shape is preserved: the variable label is the ATTRIBUTE ('Feeling comfortable and safe') and the four value labels are full statements ('I feel secure and at ease in all areas of my life.' ... 'On no area of my life, I am able to feel secure and at ease.'), so item_text is short and option_text is long. All five labels carry '(reversed)' and the codes end in 'r': 1 is the most capable level and 4 the least, which is the reverse of ICECAP-A's usual 1=worst scoring.","ICECAP-A capability wellbeing, five attributes. The response options are full statements, not a rating scale, and they run from most capable at 1 to least capable at 4 -- the reverse of the ICECAP-A's usual direction, which is what the 'r' in the item codes marks. Administered in Dutch; the English here is the translation the deposit supplies.","NA"
"IJLS_Eersel_2024_IUS","data_labels","translated_substitute","study_supplied","","DataverseNL doi:10.34894/FDDFTJ (CC0), 'IJLS [dataset].sav' and IJLS_readme.txt. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118.","NO MAPPING STEP: the live item codes are the .sav's own column names, and every column carries both its item (variable label) and its response options (value labels), which IJLS_readme.txt repeats independently. LANGUAGE: the readme states '[all items were translated from Dutch to English]', so the study was administered in Dutch, no Dutch text is deposited, and the English ships in the base fields with language=Dutch -- the documented fallback rather than a default. All twelve items share one anchor set (1 = Strongly disagree ... 5 = Strongly agree) and none is reverse-keyed, so this is the simplest of the three IJLS tables.","Intolerance of Uncertainty Scale, 12-item short form, rated 1 = Strongly disagree to 5 = Strongly agree. Administered in Dutch; the English here is the translation the deposit supplies.","NA"
"IJLS_Eersel_2024_Optimism","data_labels","translated_substitute","study_supplied","","DataverseNL doi:10.34894/FDDFTJ (CC0), 'IJLS [dataset].sav' and IJLS_readme.txt. van Eersel, Hulshof, Wickham, Smid & Boelen (2024), 'Pre-job loss grief reactions and work attachment among sick-listed employees: Introduction of the imminent Job Loss Scale', BMC Psychology 12:118.","NO MAPPING STEP: the live item codes are the .sav's own column names, and every column carries both its item (variable label) and its response options (value labels), which IJLS_readme.txt repeats independently. LANGUAGE: the readme states '[all items were translated from Dutch to English]', so the study was administered in Dutch, no Dutch text is deposited, and the English ships in the base fields with language=Dutch -- the documented fallback rather than a default. THE REVERSE KEYING IS IN THE VALUE LABELS, which is why they are shipped per item rather than per table: Lot_r_2, Lot_r_3 and Lot_r_5 are labelled '(reverse coded)' AND carry inverted value labels (1 = Strongly agree ... 5 = Strongly disagree), i.e. the source stores them already reversed and says so consistently. Contrast conner_2017_lot in batch_303, where the same instrument's source said it in the variable label but left the value labels un-updated and the direction had to be recovered from the data.","Life Orientation Test-Revised, six scored items, rated 1-5. Items 2, 3 and 5 are the pessimism-worded ones and are stored ALREADY REVERSE-SCORED, so for those three a high value means disagreement with the printed statement; their option labels are shipped inverted to match, as the source has them. Administered in Dutch; the English here is the translation the deposit supplies.","NA"
"MotAcademica_Ribeiro_2019","paper_explicit","study_materials","machine_translation","","Harvard Dataverse doi:10.7910/DVN/KWTMWT (CC0), MotAcademica_AmostraA.tab and _AmostraB.tab (columns Item1..Item29). Wording, stem, instruction and scale: the Anexo of Ribeiro, Saraiva, Pereira & Ribeiro (2019), 'Escala de Motivacao Academica: Validacao no Ensino Superior Publico Portugues', Revista de Administracao Contemporanea 23(3), scielo.br/j/rac/a/GpfDjHvMRDf9cyG4nmqQMtt (CC BY). Instrument adapted from Guimaraes & Bzuneck (2008), Ciencias & Cognicao 13(1), 101-113.","ItemN SAYS NOTHING ABOUT WHICH QUESTION IT IS, so the numbering was checked against the paper's own statistics rather than assumed. The paper reports item 27 as the highest-mean item in both samples (A: 5.66, B: 5.64) followed by item 26 (A: 5.45, B: 5.39); recomputing from Amostra A gives 5.66 and 5.45, in that order, and the two deposit files together reproduce all 33,553 live rows cell for cell. A second check: five of the six lowest-mean items are the paper's six Desmotivacao items. THE ANCHORS ARE PARTLY UNRESOLVED. The anexo prints five labels across seven points and its own HTML table aligns them 1 = Nenhuma correspondencia, 2 = Pouca correspondencia, 'Moderada correspondencia' spanning points 3-5, 6 = Muita correspondencia, 7 = Total correspondencia. Rather than pick a single point for 'Moderada', 3, 4 and 5 ship with empty option_text. The English in the *_translated columns is an IRW rendering; no published English version of this adaptation exists.","Escala de Motivacao Academica, 29 items, answered 1-7 in response to 'Porque vem a universidade?'. Only four of the seven scale points were labelled in a way that can be read off the published instrument -- 1, 2, 6 and 7 -- because the source prints 'Moderada correspondencia' across points 3 to 5; those three are therefore left unlabelled here rather than guessed. The English translation was produced by IRW.","NA"
"PEMAIW_Qiu_2020_PANAS","data_labels","study_materials","","","OSF osf.io/ph6ks (CC BY 4.0): Materials component, 'materials_PANAS20.pdf' (the administered questionnaire), and Data component, data_anonymizedInternalRecruit.csv / data_anonymizedWebRecruit.csv (raw Qualtrics exports whose first row is the question text). Qiu & Minda (2023), 'Psychedelic Experience and Mindfulness are Associated with Improved Wellbeing', doi:10.17605/OSF.IO/PH6KS. Instrument: Watson, Clark & Tellegen (1988).","TWO INDEPENDENT RENDERINGS IN ONE DEPOSIT AGREE ON EVERYTHING, which is unusually clean. The Qualtrics question row names each PANAS_n column's adjective and carries the shared stem verbatim; materials_PANAS20.pdf numbers the same twenty adjectives 1-20 in the same order and prints the five anchors and the PA/NA scoring key. A third, data-side check confirms the key: with PA = items 1,3,5,9,10,12,14,16,17,19, every adjective correlates more strongly with its own block than with the other (within .45/.48, between -.16).","PANAS short form, twenty adjectives rated 1 = Very slightly or not at all to 5 = Extremely for how the respondent felt over the past week. Items 1, 3, 5, 9, 10, 12, 14, 16, 17 and 19 form the Positive Affect score and the other ten the Negative Affect score.","NA"
"PTCI_Chinese_Zhan_2024","paper_explicit","translated_substitute","official_instrument_english","","OSF osf.io/tj8rh (CC BY 4.0): README.txt (the renumbering), PTCI_data.sav (variable labels giving each code's subscale). Zhan, Gao, Cao, Li & Geng (2024), Psychological Assessment, doi:10.1037/pas0001309. Instrument: Foa, Ehlers, Clark, Tolin & Orsillo (1999), Psychological Assessment 11:303-314, Appendix A (items and anchors) and Appendix B (subscale key).","THE ITEM CODES ARE RENUMBERED AND THE RENUMBERING IS THE WHOLE RISK HERE. The deposit's README states that original PTCI items 13, 32 and 34 -- the three Foa et al. exclude from the subscales -- were dropped and the remaining 33 renumbered in order, so ptci13 is original item 14, ptci31 is original 33, ptci32 is original 35 and ptci33 is original 36. That rule was not taken on trust: applying it and predicting each code's subscale from Foa et al.'s Appendix B reproduces the .sav's own variable labels on all 33 codes, and the nine codes the .sav prefixes 'b-' number exactly nine, which is the PTCI-9 the paper introduces. THE README ITSELF HAS A TYPO: its line 32 reads 'ptci35 -> ptci21' where the sequence requires ptci32, and ptci21 is already taken two lines earlier. section_prompt carries each code's original number and subscale so the mapping is visible in the shipped file. The administered Chinese is in neither the deposit nor the paper's supplements, so Foa et al.'s English ships in the base fields.","Posttraumatic Cognitions Inventory, Chinese administration. THE ITEM CODES ARE NOT THE PTCI'S OWN NUMBERS: the study dropped the three experimental items (original 13, 32, 34) and renumbered the rest, so ptci13 is the PTCI's item 14 and the offset grows from there. Each row's section_prompt gives the original number and the Foa et al. subscale. Rated 1 = Totally disagree to 7 = Totally agree. The English shown is the published PTCI; the Chinese wording the respondents read is not in the deposit.","NA"
"QADT_Kleka_2023","paper_explicit","study_materials","study_supplied","","OSF osf.io/6vqp3 (CC BY 4.0): QADT.pdf Appendix 1 (all twelve items in Polish and English with the reverse marks and the scoring rule), zr_cleaned.rda (the data), anaysis_code.Rmd (the paper's analysis). Grzegorzewska, Kleka & Felinska, 'Achieving mental wellness in school-aged children: Validating a questionnaire to measure developmental task completion (QADT)'.","THE APPENDIX LABELS THE ITEMS DT_1..DT_12 AND THE DATA CALL THEM ZR_1..ZR_12, so the correspondence needed establishing. Two things do it. The deposit's own analysis code writes the comment '# moved DT_2' directly above the model that moves ZR_2 -- the author uses the names interchangeably. And the three factors that code fits group the ZR codes exactly as the appendix's item CONTENT groups them: the kooperacja four (ZR_4, 6, 8, 11) are the four peer-relations items, the kompetencja four are competence items, and the misfit the author moved -- ZR_2 -- is itself a peer item ('Lubie spotykac moich kolegow'). DIRECTION: the appendix scores A = 1, B = 0 with six items marked reverse, and the stored values are post-reversal (all twelve item-total correlations are positive, which raw A/B coding cannot produce), so resp 1 always means the developmental task is attained. option_text follows that per item -- for a starred item resp 1 is the B statement, otherwise the A statement. The deposit reproduces all 16,308 live rows. THE LEAD-IN 'Zycie szkolne jest:' is printed once, in the appendix table's header row, so it ships as a shared section_prompt; the items themselves have no stems and item_text is blank.","Twelve forced-choice items about attainment of developmental tasks in school-aged children, administered in Polish with the authors' own English alongside. resp is 1 when the task is attained and 0 when it is not; six items were reverse-worded and the source has already recoded them, so the A/B statement attached to resp 1 differs by item. The items have no stems -- the two statements are the whole item -- and share one lead-in, 'Zycie szkolne jest:' ('School life is:').","NA"
"SCS_Suh_2023_BFNE","reconstructed","canonical_instrument","","","OSF osf.io/wsjkb (CC BY 4.0), 'SCS EA dataset.sav' and 'SCS Korean dataset.sav'. Instrument: Leary (1983), 'A brief version of the Fear of Negative Evaluation Scale', Personality and Social Psychology Bulletin 9:371-376, as distributed on the author's own site (sites.duke.edu/leary, Brief-FNE.pdf). Suh (2024), International Journal of Cognitive Therapy, doi:10.1007/s41811-024-00214-3.","THE DEPOSIT CARRIES NO ITEM TEXT AT ALL: both .sav files have BFNE_1..BFNE_12 with neither variable nor value labels, and the paper is paywalled -- hence mapping_basis=reconstructed rather than data_labels. THE NUMBERING IS ESTABLISHED FROM THE DATA. Leary's four reverse-worded items are 2, 4, 7 and 10; in the live table those four are exactly the four lowest item-total correlations (.658-.673 against .719-.827 for the other eight). Landing the four lowest on a named quartet of twelve is a 1-in-495 coincidence, so the shipped numbering is the published one. DIRECTION: all twelve correlate positively, which is impossible if the reverse-worded four held raw agreement, so they are stored already recoded and their anchors ship inverted. LANGUAGE: the table pools two samples answering in different languages -- group='US' read the English above, group='Korea' read a Korean translation the deposit does not publish -- so `language` reads 'English; Korean' rather than naming one. That is a new value for that column and is deliberate; blanking it would imply an English-only administration.","Brief Fear of Negative Evaluation scale, twelve items rated 1 = Not at all characteristic of me to 5 = Extremely characteristic of me. Items 2, 4, 7 and 10 are the reverse-worded ones and are stored already recoded, so their option labels are shipped inverted. The table pools a US sample who answered in English and a Korean sample who answered a Korean translation that the deposit does not publish; the wording here is Leary's English original. The data file itself carries no item text -- the numbering is the published scale's, confirmed by which four items behave as the reverse-worded ones.","NA"
"abortion","data_labels","study_materials","","","The ltm R package (CRAN, GPL-2+): data(Abortion) and its man page ?Abortion, which gives the shared stem and the four items. Source survey: 1986 British Social Attitudes Survey (McGrath & Waterton, 1986); see Knott, Albanese & Galbraith (1990), The Statistician 40:217-223.","NO MAPPING STEP -- item_1..item_4 are the data frame's own columns 'Item 1'..'Item 4' -- and data(Abortion) reproduces all eight live item x resp cells exactly (1,516 rows against 1,516). TWO THINGS THE PACKAGE DOES NOT SAY, both recorded rather than papered over. (1) It does not label 0 and 1. The stem is 'the law should allow abortion under the circumstances presented under each item', and item_1 -- 'the woman decides on her own' -- is the only item below .5 (.438 against .594-.636), which is the ordering this survey is known for; so resp 1 is 'yes' and the Yes/No labels shipped are this project's, from the stem. (2) The man page prints item 1 as 'The woman decides on her own that she does not.', an incomplete sentence where the other three are complete. It ships as the package has it.","Four items on when the law should allow abortion, from the 1986 British Social Attitudes Survey, as distributed in the ltm R package. resp is 1 for 'the law should allow it'. Two caveats from the source: it does not label the 0/1 coding (the Yes/No labels here are inferred from the stem and from which item is least endorsed), and its text for item_1 is an incomplete sentence, shipped unaltered.","NA"
"alcoholhealthwarninglabel_brennan_2022_intentions_postexposure","paper_explicit","study_materials","","","Brennan et al. (2022), 'Testing the effectiveness of alcohol health warning label formats', PLOS ONE 17(12):e0276189 (CC BY 4.0), Methods > Outcomes. Data: openICPSR project 175721, doi:10.3886/E175721V1.","THE DEPOSIT COULD NOT BE READ: openICPSR 175721 returns HTTP 403 without a login, so the .dta's variable labels -- the level-1 source -- are out of reach and the wording comes from the paper instead. The paper quotes both statements and all four anchors verbatim ('definitely will not' ... 'definitely will'), and lists the 'next month' block in the order reduce how often / reduce the amount per occasion / avoid completely, which is the order the processing script's D2_D4_2, D2_D4_3 and absent D2_D4_4 imply. The data agree on direction and magnitude (the two items correlate +.62 where the paper reports a polychoric .72, and 45% answer 'probably/definitely will' against Table 2's 51-59% for the combined variable). WHAT IS STILL AN INFERENCE is that D2_D4_2 and D2_D4_3 are the second and third statements rather than some other pair, which is why the verification row is PARTIAL. The block's fourth statement is not in this table because the deposit ships only a binarised version of it. UPLOAD NOTE: irw-validate raises a BLOCKING name_length error on this file -- the table name is 62 characters against datastandard.md's 40-character cap. That is a property of the live response table, not of the item text, and all three of this study's tables are over the cap (62, 63 and 65 characters); the `table` column has to match the live name exactly or the join breaks, so it cannot be shortened here. This file needs --override at upload, or the response tables need renaming first.","Two post-exposure intention items from an alcohol health warning label trial, answered 1 = definitely will not to 4 = definitely will. A third statement in the same block ('avoid drinking alcohol completely') is not in this table because the source file holds only a binarised version of it. The wording is quoted from the paper: the deposit itself is behind an openICPSR login.","NA"
