"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_1","Activist Identity and Commitment Scale",NA,NA,"Being an activist is central to who I am.",NA,"Strongly disagree",1
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_1","Activist Identity and Commitment Scale",NA,NA,"Being an activist is central to who I am.",NA,"Moderately disagree",2
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_1","Activist Identity and Commitment Scale",NA,NA,"Being an activist is central to who I am.",NA,"Slightly disagree",3
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_1","Activist Identity and Commitment Scale",NA,NA,"Being an activist is central to who I am.",NA,"Slightly agree",4
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_1","Activist Identity and Commitment Scale",NA,NA,"Being an activist is central to who I am.",NA,"Moderately agree",5
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_1","Activist Identity and Commitment Scale",NA,NA,"Being an activist is central to who I am.",NA,"Strongly agree",6
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_2","Activist Identity and Commitment Scale",NA,NA,"I am truly committed to engage in activism.",NA,"Strongly disagree",1
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_2","Activist Identity and Commitment Scale",NA,NA,"I am truly committed to engage in activism.",NA,"Moderately disagree",2
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_2","Activist Identity and Commitment Scale",NA,NA,"I am truly committed to engage in activism.",NA,"Slightly disagree",3
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_2","Activist Identity and Commitment Scale",NA,NA,"I am truly committed to engage in activism.",NA,"Slightly agree",4
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_2","Activist Identity and Commitment Scale",NA,NA,"I am truly committed to engage in activism.",NA,"Moderately agree",5
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_2","Activist Identity and Commitment Scale",NA,NA,"I am truly committed to engage in activism.",NA,"Strongly agree",6
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_3","Activist Identity and Commitment Scale",NA,NA,"I identify myself as an activist.",NA,"Strongly disagree",1
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_3","Activist Identity and Commitment Scale",NA,NA,"I identify myself as an activist.",NA,"Moderately disagree",2
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_3","Activist Identity and Commitment Scale",NA,NA,"I identify myself as an activist.",NA,"Slightly disagree",3
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_3","Activist Identity and Commitment Scale",NA,NA,"I identify myself as an activist.",NA,"Slightly agree",4
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_3","Activist Identity and Commitment Scale",NA,NA,"I identify myself as an activist.",NA,"Moderately agree",5
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_3","Activist Identity and Commitment Scale",NA,NA,"I identify myself as an activist.",NA,"Strongly agree",6
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_4","Activist Identity and Commitment Scale",NA,NA,"I make time for activism, even when I'm busy.",NA,"Strongly disagree",1
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_4","Activist Identity and Commitment Scale",NA,NA,"I make time for activism, even when I'm busy.",NA,"Moderately disagree",2
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_4","Activist Identity and Commitment Scale",NA,NA,"I make time for activism, even when I'm busy.",NA,"Slightly disagree",3
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_4","Activist Identity and Commitment Scale",NA,NA,"I make time for activism, even when I'm busy.",NA,"Slightly agree",4
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_4","Activist Identity and Commitment Scale",NA,NA,"I make time for activism, even when I'm busy.",NA,"Moderately agree",5
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_4","Activist Identity and Commitment Scale",NA,NA,"I make time for activism, even when I'm busy.",NA,"Strongly agree",6
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_5","Activist Identity and Commitment Scale",NA,NA,"People who know me well would call me an activist.",NA,"Strongly disagree",1
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_5","Activist Identity and Commitment Scale",NA,NA,"People who know me well would call me an activist.",NA,"Moderately disagree",2
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_5","Activist Identity and Commitment Scale",NA,NA,"People who know me well would call me an activist.",NA,"Slightly disagree",3
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_5","Activist Identity and Commitment Scale",NA,NA,"People who know me well would call me an activist.",NA,"Slightly agree",4
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_5","Activist Identity and Commitment Scale",NA,NA,"People who know me well would call me an activist.",NA,"Moderately agree",5
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_5","Activist Identity and Commitment Scale",NA,NA,"People who know me well would call me an activist.",NA,"Strongly agree",6
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_6","Activist Identity and Commitment Scale",NA,NA,"I go out of my way to engage in activism.",NA,"Strongly disagree",1
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_6","Activist Identity and Commitment Scale",NA,NA,"I go out of my way to engage in activism.",NA,"Moderately disagree",2
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_6","Activist Identity and Commitment Scale",NA,NA,"I go out of my way to engage in activism.",NA,"Slightly disagree",3
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_6","Activist Identity and Commitment Scale",NA,NA,"I go out of my way to engage in activism.",NA,"Slightly agree",4
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_6","Activist Identity and Commitment Scale",NA,NA,"I go out of my way to engage in activism.",NA,"Moderately agree",5
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_6","Activist Identity and Commitment Scale",NA,NA,"I go out of my way to engage in activism.",NA,"Strongly agree",6
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_7","Activist Identity and Commitment Scale",NA,NA,"Being an activist is an important reflection of who I am.",NA,"Strongly disagree",1
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_7","Activist Identity and Commitment Scale",NA,NA,"Being an activist is an important reflection of who I am.",NA,"Moderately disagree",2
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_7","Activist Identity and Commitment Scale",NA,NA,"Being an activist is an important reflection of who I am.",NA,"Slightly disagree",3
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_7","Activist Identity and Commitment Scale",NA,NA,"Being an activist is an important reflection of who I am.",NA,"Slightly agree",4
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_7","Activist Identity and Commitment Scale",NA,NA,"Being an activist is an important reflection of who I am.",NA,"Moderately agree",5
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_7","Activist Identity and Commitment Scale",NA,NA,"Being an activist is an important reflection of who I am.",NA,"Strongly agree",6
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_8","Activist Identity and Commitment Scale",NA,NA,"I take the time I need to engage in activism.",NA,"Strongly disagree",1
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_8","Activist Identity and Commitment Scale",NA,NA,"I take the time I need to engage in activism.",NA,"Moderately disagree",2
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_8","Activist Identity and Commitment Scale",NA,NA,"I take the time I need to engage in activism.",NA,"Slightly disagree",3
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_8","Activist Identity and Commitment Scale",NA,NA,"I take the time I need to engage in activism.",NA,"Slightly agree",4
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_8","Activist Identity and Commitment Scale",NA,NA,"I take the time I need to engage in activism.",NA,"Moderately agree",5
"dwyer_2019_clinton_activist","dwyer_2019_clinton_activist_1","Activist_8","Activist Identity and Commitment Scale",NA,NA,"I take the time I need to engage in activism.",NA,"Strongly agree",6
