"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp1","Self-Compassion Scale (SCS)","Finnish",NA,NA,"En hyväksy omia vikojani ja puutteitani vaan tuomitsen ne.",NA,"En melkein koskaan",1,NA,NA,"I’m disapproving and judgmental about my own flaws and inadequacies.","Hardly ever"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp1","Self-Compassion Scale (SCS)","Finnish",NA,NA,"En hyväksy omia vikojani ja puutteitani vaan tuomitsen ne.",NA,"Hyvin harvoin",2,NA,NA,"I’m disapproving and judgmental about my own flaws and inadequacies.","Very rarely"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp1","Self-Compassion Scale (SCS)","Finnish",NA,NA,"En hyväksy omia vikojani ja puutteitani vaan tuomitsen ne.",NA,"En usein enkä harvoin",3,NA,NA,"I’m disapproving and judgmental about my own flaws and inadequacies.","Neither often nor rarely"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp1","Self-Compassion Scale (SCS)","Finnish",NA,NA,"En hyväksy omia vikojani ja puutteitani vaan tuomitsen ne.",NA,"Hyvin usein",4,NA,NA,"I’m disapproving and judgmental about my own flaws and inadequacies.","Very often"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp1","Self-Compassion Scale (SCS)","Finnish",NA,NA,"En hyväksy omia vikojani ja puutteitani vaan tuomitsen ne.",NA,"Lähes aina",5,NA,NA,"I’m disapproving and judgmental about my own flaws and inadequacies.","Almost always"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp2","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Allapäin ollessani kiinnitän huomioni pakkomielteisesti kaikkeen, mikä on vialla.",NA,"En melkein koskaan",1,NA,NA,"When I’m feeling down I tend to obsess and fixate on everything that’s wrong.","Hardly ever"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp2","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Allapäin ollessani kiinnitän huomioni pakkomielteisesti kaikkeen, mikä on vialla.",NA,"Hyvin harvoin",2,NA,NA,"When I’m feeling down I tend to obsess and fixate on everything that’s wrong.","Very rarely"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp2","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Allapäin ollessani kiinnitän huomioni pakkomielteisesti kaikkeen, mikä on vialla.",NA,"En usein enkä harvoin",3,NA,NA,"When I’m feeling down I tend to obsess and fixate on everything that’s wrong.","Neither often nor rarely"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp2","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Allapäin ollessani kiinnitän huomioni pakkomielteisesti kaikkeen, mikä on vialla.",NA,"Hyvin usein",4,NA,NA,"When I’m feeling down I tend to obsess and fixate on everything that’s wrong.","Very often"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp2","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Allapäin ollessani kiinnitän huomioni pakkomielteisesti kaikkeen, mikä on vialla.",NA,"Lähes aina",5,NA,NA,"When I’m feeling down I tend to obsess and fixate on everything that’s wrong.","Almost always"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp3","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Kun minulla menee huonosti, ajattelen että vaikeudet ovat osa elämää ja kaikki joutuvat niitä joskus kokemaan.",NA,"En melkein koskaan",1,NA,NA,"When things are going badly for me, I see the difficulties as part of life that everyone goes through.","Hardly ever"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp3","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Kun minulla menee huonosti, ajattelen että vaikeudet ovat osa elämää ja kaikki joutuvat niitä joskus kokemaan.",NA,"Hyvin harvoin",2,NA,NA,"When things are going badly for me, I see the difficulties as part of life that everyone goes through.","Very rarely"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp3","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Kun minulla menee huonosti, ajattelen että vaikeudet ovat osa elämää ja kaikki joutuvat niitä joskus kokemaan.",NA,"En usein enkä harvoin",3,NA,NA,"When things are going badly for me, I see the difficulties as part of life that everyone goes through.","Neither often nor rarely"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp3","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Kun minulla menee huonosti, ajattelen että vaikeudet ovat osa elämää ja kaikki joutuvat niitä joskus kokemaan.",NA,"Hyvin usein",4,NA,NA,"When things are going badly for me, I see the difficulties as part of life that everyone goes through.","Very often"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp3","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Kun minulla menee huonosti, ajattelen että vaikeudet ovat osa elämää ja kaikki joutuvat niitä joskus kokemaan.",NA,"Lähes aina",5,NA,NA,"When things are going badly for me, I see the difficulties as part of life that everyone goes through.","Almost always"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp4","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Kun ajattelen vaikeuksiani, alan kokea erillisyyttä muihin ihmisiin.",NA,"En melkein koskaan",1,NA,NA,"When I think about my inadequacies, it tends to make me feel more separate and cut off from the rest of the world.","Hardly ever"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp4","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Kun ajattelen vaikeuksiani, alan kokea erillisyyttä muihin ihmisiin.",NA,"Hyvin harvoin",2,NA,NA,"When I think about my inadequacies, it tends to make me feel more separate and cut off from the rest of the world.","Very rarely"
"kumlander_2018_scs","kumlander_2018_scs_1","scomp4","Self-Compassion Scale (SCS)","Finnish",NA,NA,"Kun ajattelen vaikeuksiani, alan kokea erillisyyttä muihin ihmisiin.",NA,"En usein enkä harvoin",3,NA,NA,"When I think about my inadequacies, it tends to make me feel more separate and cut off from the rest of the world.","Neither often nor rarely"
