"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a3","a3","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"La semana pasada, ¿faltaste algún día al colegio?","Last week, did you miss school on any day?",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a3","a3","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"La semana pasada, ¿faltaste algún día al colegio?","Last week, did you miss school on any day?",NA,"No","No",2
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a5","a5_1","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"La última vez que faltaste, ¿tu apoderado, madre o padre dio aviso al colegio?","The last time you were absent, did your guardian, mother or father let the school know?",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a5","a5_1","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"La última vez que faltaste, ¿tu apoderado, madre o padre dio aviso al colegio?","The last time you were absent, did your guardian, mother or father let the school know?",NA,"No","No",2
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a5","a5_2","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"La última vez que faltaste, ¿alguno de tus profesores(as) te envió un mensaje o te contactó a ti o a tu apoderado, madre o padre para saber por qué faltaste al colegio?","The last time you were absent, did any of your teachers send a message or contact you or your guardian, mother or father to find out why you missed school?",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a5","a5_2","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"La última vez que faltaste, ¿alguno de tus profesores(as) te envió un mensaje o te contactó a ti o a tu apoderado, madre o padre para saber por qué faltaste al colegio?","The last time you were absent, did any of your teachers send a message or contact you or your guardian, mother or father to find out why you missed school?",NA,"No","No",2
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a5","a5_3","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"La última vez que faltaste, ¿alguno de tus compañeros(as) te envió un mensaje o te contactó para saber por qué faltaste al colegio?","The last time you were absent, did any of your classmates send a message or contact you to find out why you missed school?",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a5","a5_3","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"La última vez que faltaste, ¿alguno de tus compañeros(as) te envió un mensaje o te contactó para saber por qué faltaste al colegio?","The last time you were absent, did any of your classmates send a message or contact you to find out why you missed school?",NA,"No","No",2
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a6","a6","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"En general, ¿cómo te va en el colegio?","In general, how are you doing at school?",NA,"Muy mal","Very badly",1
"chile_2023_children-adolescents-survey_aa","chile_2023_children-adolescents-survey_aa_a6","a6","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Niños, Niñas y Adolescentes 9 a 17 años, Módulo: Educación y Percepción","Spanish","Hola, mi nombre es %nombre encuestador% y hoy te voy a hacer una entrevista, la idea es que escuches con atención y respondas las preguntas que te voy a hacer. Es importante que sepas que no hay respuestas buenas o malas y que lo más importante es que podamos compartir y conversar sobre las principales actividades que tú haces en un día. No vamos a compartir tus respuestas con nadie más.","Hi, my name is %interviewer name% and today I am going to interview you; the idea is that you listen carefully and answer the questions I am going to ask you. It is important that you know that there are no right or wrong answers and that the most important thing is that we can share and talk about the main activities you do in a day. We are not going to share your answers with anyone else.",NA,NA,"En general, ¿cómo te va en el colegio?","In general, how are you doing at school?",NA,"Mal","Badly",2
