"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_1","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Sequía","Drought",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_1","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Sequía","Drought",NA,"No","No",2
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_2","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Inundación, aluvión o anegamiento","Flood, mudslide or waterlogging",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_2","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Inundación, aluvión o anegamiento","Flood, mudslide or waterlogging",NA,"No","No",2
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_3","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Heladas o nevazones","Frosts or heavy snowfall",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_3","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Heladas o nevazones","Frosts or heavy snowfall",NA,"No","No",2
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_4","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Incendios forestales","Forest fires",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_4","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Incendios forestales","Forest fires",NA,"No","No",2
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_5","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Terremoto o tsunami","Earthquake or tsunami",NA,"Sí","Yes",1
"chile_2023_children-adolescents-survey_cp_a","chile_2023_children-adolescents-survey_cp_a_ac1","ac1_5","Encuesta de Actividades de Niños, Niñas y Adolescentes (EANNA) 2023 — Cuestionario Cuidador(a) Principal, Módulo: Acontecimientos","Spanish",NA,NA,"Durante los últimos 12 meses, ¿alguno de los siguientes desastres causó a su hogar alguna pérdida o daño a nivel humano, económico, o de sus medios de subsistencia?","During the last 12 months, did any of the following disasters cause your household any loss or damage at the human or economic level, or to its means of livelihood?","Terremoto o tsunami","Earthquake or tsunami",NA,"No","No",2
