"table","section_id","item","item_text","correct_response","instrument","instructions","section_prompt","option_text","resp"
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis1","I enjoy seeing people hurt.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly disagree",1
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis1","I enjoy seeing people hurt.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",2
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis1","I enjoy seeing people hurt.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Neither agree nor disagree",3
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis1","I enjoy seeing people hurt.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat agree",4
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis1","I enjoy seeing people hurt.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly agree",5
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis2","I would enjoy hurting someone physically, sexually, or emotionally.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly disagree",1
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis2","I would enjoy hurting someone physically, sexually, or emotionally.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",2
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis2","I would enjoy hurting someone physically, sexually, or emotionally.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Neither agree nor disagree",3
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis2","I would enjoy hurting someone physically, sexually, or emotionally.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat agree",4
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis2","I would enjoy hurting someone physically, sexually, or emotionally.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly agree",5
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis3","Hurting people would be exciting.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly disagree",1
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis3","Hurting people would be exciting.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",2
