"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q1_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing, and unwanted memories of the stressful experience?",NA,"Not at all",1
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q1_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing, and unwanted memories of the stressful experience?",NA,"A little bit",2
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q1_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing, and unwanted memories of the stressful experience?",NA,"Moderately",3
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q1_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing, and unwanted memories of the stressful experience?",NA,"Quite a bit",4
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q1_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing, and unwanted memories of the stressful experience?",NA,"Extremely",5
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q2_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing dreams of the stressful experience?",NA,"Not at all",1
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q2_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing dreams of the stressful experience?",NA,"A little bit",2
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q2_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing dreams of the stressful experience?",NA,"Moderately",3
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q2_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing dreams of the stressful experience?",NA,"Quite a bit",4
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q2_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Repeated, disturbing dreams of the stressful experience?",NA,"Extremely",5
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q3_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)?",NA,"Not at all",1
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q3_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)?",NA,"A little bit",2
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q3_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)?",NA,"Moderately",3
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q3_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)?",NA,"Quite a bit",4
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q3_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)?",NA,"Extremely",5
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q4_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Feeling very upset when something reminded you of the stressful experience?",NA,"Not at all",1
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q4_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Feeling very upset when something reminded you of the stressful experience?",NA,"A little bit",2
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q4_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Feeling very upset when something reminded you of the stressful experience?",NA,"Moderately",3
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q4_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Feeling very upset when something reminded you of the stressful experience?",NA,"Quite a bit",4
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q4_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Feeling very upset when something reminded you of the stressful experience?",NA,"Extremely",5
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q5_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Having strong physical reactions when something reminded you of the stressful experience (for example, heart pounding, trouble breathing, sweating)?",NA,"Not at all",1
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q5_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Having strong physical reactions when something reminded you of the stressful experience (for example, heart pounding, trouble breathing, sweating)?",NA,"A little bit",2
"BPAQ_Christopher_2024_PCL5","BPAQ_Christopher_2024_PCL5_1","pcl5_q5_b","PTSD Checklist for DSM-5 (PCL-5)","In the past month, how much were you bothered by:",NA,"Having strong physical reactions when something reminded you of the stressful experience (for example, heart pounding, trouble breathing, sweating)?",NA,"Moderately",3
