"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"silvia_2024_funny","silvia_2024_funny_1","hef1","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I think I can make almost anyone laugh.",NA,"strongly disagree",0
"silvia_2024_funny","silvia_2024_funny_1","hef1","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I think I can make almost anyone laugh.",NA,NA,1
"silvia_2024_funny","silvia_2024_funny_1","hef1","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I think I can make almost anyone laugh.",NA,NA,2
"silvia_2024_funny","silvia_2024_funny_1","hef1","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I think I can make almost anyone laugh.",NA,NA,3
"silvia_2024_funny","silvia_2024_funny_1","hef1","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I think I can make almost anyone laugh.",NA,"strongly agree",4
"silvia_2024_funny","silvia_2024_funny_1","hef2","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I trust my ability to be funny.",NA,"strongly disagree",0
"silvia_2024_funny","silvia_2024_funny_1","hef2","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I trust my ability to be funny.",NA,NA,1
"silvia_2024_funny","silvia_2024_funny_1","hef2","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I trust my ability to be funny.",NA,NA,2
"silvia_2024_funny","silvia_2024_funny_1","hef2","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I trust my ability to be funny.",NA,NA,3
"silvia_2024_funny","silvia_2024_funny_1","hef2","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I trust my ability to be funny.",NA,"strongly agree",4
"silvia_2024_funny","silvia_2024_funny_1","hef3","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I feel confident in my humor skills.",NA,"strongly disagree",0
"silvia_2024_funny","silvia_2024_funny_1","hef3","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I feel confident in my humor skills.",NA,NA,1
"silvia_2024_funny","silvia_2024_funny_1","hef3","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I feel confident in my humor skills.",NA,NA,2
"silvia_2024_funny","silvia_2024_funny_1","hef3","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I feel confident in my humor skills.",NA,NA,3
"silvia_2024_funny","silvia_2024_funny_1","hef3","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"I feel confident in my humor skills.",NA,"strongly agree",4
"silvia_2024_funny","silvia_2024_funny_1","hef4","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"Being funny is something that comes naturally to me.",NA,"strongly disagree",0
"silvia_2024_funny","silvia_2024_funny_1","hef4","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"Being funny is something that comes naturally to me.",NA,NA,1
"silvia_2024_funny","silvia_2024_funny_1","hef4","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"Being funny is something that comes naturally to me.",NA,NA,2
"silvia_2024_funny","silvia_2024_funny_1","hef4","Humor Efficacy and Identity Short Scales (HEISS)","We’re interested in people’s ideas and beliefs about being funny: making other people laugh and coming up with witty and humorous ideas. How much do you agree or disagree with the following statements about you?",NA,"Being funny is something that comes naturally to me.",NA,NA,3
