"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"cognitive_children_2026","cognitive_children_2026_1","att_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Maintains attention during riddles",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","att_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Maintains attention during riddles",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","att_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Maintains attention during riddles",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","att_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Maintains attention during riddles",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","att_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Maintains attention during riddles",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","att_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Follows oral and visual instructions",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","att_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Follows oral and visual instructions",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","att_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Follows oral and visual instructions",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","att_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Follows oral and visual instructions",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","att_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Follows oral and visual instructions",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","att_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Concentrates on color patterns",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","att_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Concentrates on color patterns",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","att_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Concentrates on color patterns",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","att_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Concentrates on color patterns",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","att_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Concentrates on color patterns",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","att_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Correctly identifies body parts",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","att_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Correctly identifies body parts",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","att_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Correctly identifies body parts",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","att_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Correctly identifies body parts",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","att_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Correctly identifies body parts",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","att_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Focuses on correctly matching figures",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","att_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Focuses on correctly matching figures",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","att_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Focuses on correctly matching figures",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","att_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Focuses on correctly matching figures",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","att_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Focuses on correctly matching figures",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","mem_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","mem_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","mem_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","mem_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","mem_1","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers answers and numerical sequences",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","mem_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","mem_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","mem_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","mem_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","mem_2","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers tongue twisters/rhymes",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","mem_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","mem_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","mem_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","mem_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","mem_3","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Retains patterns and sequences",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","mem_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","mem_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","mem_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","mem_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,NA,NA,4
"cognitive_children_2026","cognitive_children_2026_1","mem_4","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Remembers names and location of body parts",NA,NA,"Always",NA,5
"cognitive_children_2026","cognitive_children_2026_1","mem_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,"Never",NA,1
"cognitive_children_2026","cognitive_children_2026_1","mem_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,NA,NA,2
"cognitive_children_2026","cognitive_children_2026_1","mem_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,NA,NA,3
"cognitive_children_2026","cognitive_children_2026_1","mem_5","Cognitive Development Assessment in Early Childhood Education (Attention and Concentration, Memory, Language and Communication, Logical Thinking)","Spanish",NA,NA,NA,NA,"Memorizes shapes and colors",NA,NA,NA,NA,4
