"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Romance_01","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Romance",NA,"Dislike Strongly",1
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Romance_01","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Romance",NA,"Dislike",2
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Romance_01","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Romance",NA,"Neither Like nor Dislike",3
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Romance_01","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Romance",NA,"Like",4
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Romance_01","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Romance",NA,"Like Strongly",5
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Horror_02","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Horror",NA,"Dislike Strongly",1
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Horror_02","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Horror",NA,"Dislike",2
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Horror_02","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Horror",NA,"Neither Like nor Dislike",3
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Horror_02","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Horror",NA,"Like",4
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Horror_02","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Horror",NA,"Like Strongly",5
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Erotica_03","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Erotica",NA,"Dislike Strongly",1
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Erotica_03","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Erotica",NA,"Dislike",2
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Erotica_03","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Erotica",NA,"Neither Like nor Dislike",3
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Erotica_03","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Erotica",NA,"Like",4
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Erotica_03","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Erotica",NA,"Like Strongly",5
"manolika_2021_reading_preferences","manolika_2021_reading_preferences_1","Art_04","Reading preferences: liking ratings for 27 genres of books (study-constructed questionnaire; Manolika, 2022)","Greek",NA,NA,"Art",NA,"Dislike Strongly",1
