"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music1","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Alternative",NA,"Dislike Strongly",1
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music1","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Alternative",NA,"Dislike Moderately",2
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music1","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Alternative",NA,"Dislike a Little",3
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music1","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Alternative",NA,"Neither like nor dislike",4
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music1","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Alternative",NA,"Like a Little",5
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music1","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Alternative",NA,"Like Moderately",6
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music1","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Alternative",NA,"Like Strongly",7
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music2","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Bluegrass",NA,"Dislike Strongly",1
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music2","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Bluegrass",NA,"Dislike Moderately",2
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music2","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Bluegrass",NA,"Dislike a Little",3
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music2","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Bluegrass",NA,"Neither like nor dislike",4
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music2","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Bluegrass",NA,"Like a Little",5
"goldberg_2018_prs_music_preferences","goldberg_2018_prs_music_preferences_1","music2","Personal Reactions Survey (PRS), Eugene-Springfield Community Sample: Leisure Preferences - Music (22 kinds)","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.",NA,"Bluegrass",NA,"Like Moderately",6
