"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA1","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I believe in the importance of art.",NA,"strongly disagree",1
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA1","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I believe in the importance of art.",NA,"disagree",2
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA1","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I believe in the importance of art.",NA,"slightly disagree",3
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA1","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I believe in the importance of art.",NA,"neutral",4
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA1","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I believe in the importance of art.",NA,"slightly agree",5
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA1","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I believe in the importance of art.",NA,"agree",6
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA1","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I believe in the importance of art.",NA,"strongly agree",7
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA2","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I get deeply immersed in music.",NA,"strongly disagree",1
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA2","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I get deeply immersed in music.",NA,"disagree",2
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA2","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I get deeply immersed in music.",NA,"slightly disagree",3
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA2","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I get deeply immersed in music.",NA,"neutral",4
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA2","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I get deeply immersed in music.",NA,"slightly agree",5
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA2","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I get deeply immersed in music.",NA,"agree",6
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA2","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I get deeply immersed in music.",NA,"strongly agree",7
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA3","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I see beauty in things that others might not notice.",NA,"strongly disagree",1
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA3","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I see beauty in things that others might not notice.",NA,"disagree",2
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA3","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I see beauty in things that others might not notice.",NA,"slightly disagree",3
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA3","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I see beauty in things that others might not notice.",NA,"neutral",4
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA3","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I see beauty in things that others might not notice.",NA,"slightly agree",5
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA3","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I see beauty in things that others might not notice.",NA,"agree",6
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA3","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I see beauty in things that others might not notice.",NA,"strongly agree",7
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA4","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I enjoy feeling close to the earth.",NA,"strongly disagree",1
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA4","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I enjoy feeling close to the earth.",NA,"disagree",2
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA4","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I enjoy feeling close to the earth.",NA,"slightly disagree",3
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA4","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I enjoy feeling close to the earth.",NA,"neutral",4
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA4","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I enjoy feeling close to the earth.",NA,"slightly agree",5
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA4","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I enjoy feeling close to the earth.",NA,"agree",6
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA4","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I enjoy feeling close to the earth.",NA,"strongly agree",7
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA5","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I have read the great literary classics.",NA,"strongly disagree",1
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA5","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I have read the great literary classics.",NA,"disagree",2
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA5","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I have read the great literary classics.",NA,"slightly disagree",3
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA5","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I have read the great literary classics.",NA,"neutral",4
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA5","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I have read the great literary classics.",NA,"slightly agree",5
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA5","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I have read the great literary classics.",NA,"agree",6
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA5","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I have read the great literary classics.",NA,"strongly agree",7
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA6","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I do not like art.",NA,"strongly disagree",1
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA6","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I do not like art.",NA,"disagree",2
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA6","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I do not like art.",NA,"slightly disagree",3
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA6","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I do not like art.",NA,"neutral",4
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA6","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I do not like art.",NA,"slightly agree",5
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA6","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I do not like art.",NA,"agree",6
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA6","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I do not like art.",NA,"strongly agree",7
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA7","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I seldom notice the emotional aspects of paintings and pictures.",NA,"strongly disagree",1
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA7","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I seldom notice the emotional aspects of paintings and pictures.",NA,"disagree",2
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA7","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I seldom notice the emotional aspects of paintings and pictures.",NA,"slightly disagree",3
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA7","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I seldom notice the emotional aspects of paintings and pictures.",NA,"neutral",4
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA7","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I seldom notice the emotional aspects of paintings and pictures.",NA,"slightly agree",5
"hexaco_ashton_2014_o","hexaco_ashton_2014_o_1","OAesA7","IPIP-HEXACO scales (Ashton, Lee & Goldberg, 2007), Openness to Experience facets: Aesthetic Appreciation, Inquisitiveness, Creativity, Unconventionality",NA,NA,"I seldom notice the emotional aspects of paintings and pictures.",NA,"agree",6
