"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V1","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I have the opportunity to give feedback on my teachers’ teaching methods during lessons.",NA,"Strongly disagree",1,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V1","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I have the opportunity to give feedback on my teachers’ teaching methods during lessons.",NA,NA,2,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V1","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I have the opportunity to give feedback on my teachers’ teaching methods during lessons.",NA,NA,3,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V1","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I have the opportunity to give feedback on my teachers’ teaching methods during lessons.",NA,NA,4,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V1","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I have the opportunity to give feedback on my teachers’ teaching methods during lessons.",NA,"Strongly agree",5,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V2","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I feel comfortable asking questions or raising concerns with teachers in class.",NA,"Strongly disagree",1,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V2","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I feel comfortable asking questions or raising concerns with teachers in class.",NA,NA,2,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V2","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I feel comfortable asking questions or raising concerns with teachers in class.",NA,NA,3,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V2","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I feel comfortable asking questions or raising concerns with teachers in class.",NA,NA,4,NA,NA,NA,NA
"nguyen_2026_autonomy_student_voice","nguyen_2026_autonomy_student_voice_1","V2","Student Voice (Nguyen 2026 learner-autonomy questionnaire, section E)","Vietnamese","The following statements are about your learning experiences at school and at home. There are no right or wrong answers. Please choose the answer that best describes your own opinion or experience. Please indicate how much you agree with each statement.",NA,"I feel comfortable asking questions or raising concerns with teachers in class.",NA,"Strongly agree",5,NA,NA,NA,NA
