"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_1","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Haber nacido en (gentilicio de la C. A.)","Having been born in (demonym of the autonomous community)",NA,"Mucha","A lot",1
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_1","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Haber nacido en (gentilicio de la C. A.)","Having been born in (demonym of the autonomous community)",NA,"Bastante","Quite a lot",2
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_1","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Haber nacido en (gentilicio de la C. A.)","Having been born in (demonym of the autonomous community)",NA,"Poca","Little",3
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_1","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Haber nacido en (gentilicio de la C. A.)","Having been born in (demonym of the autonomous community)",NA,"Ninguna","None",4
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_2","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Ser de nacionalidad española","Being of Spanish nationality",NA,"Mucha","A lot",1
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_2","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Ser de nacionalidad española","Being of Spanish nationality",NA,"Bastante","Quite a lot",2
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_2","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Ser de nacionalidad española","Being of Spanish nationality",NA,"Poca","Little",3
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_2","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Ser de nacionalidad española","Being of Spanish nationality",NA,"Ninguna","None",4
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_3","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Haber vivido en (gentilicio de la C. A.) la mayor parte de su vida","Having lived in (demonym of the autonomous community) most of one's life",NA,"Mucha","A lot",1
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_3","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Haber vivido en (gentilicio de la C. A.) la mayor parte de su vida","Having lived in (demonym of the autonomous community) most of one's life",NA,"Bastante","Quite a lot",2
"spain_2023_identity_authenticity","spain_2023_identity_authenticity_1","p8_3","CIS Estudio 3409, Estudio sobre identidades culturales, nacionales y europeas (2023): P.8 importance of attributes for being truly of the autonomous community","Spanish","Algunas personas dicen que las siguientes cosas son importantes para ser verdaderamente (gentilicio de la C. A.) y otras dicen que no son importantes. ¿Qué importancia diría usted que tiene cada una de las siguientes cuestiones para considerar que alguien es un/a auténtico/a (gentilicio de la C. A.)?","Some people say that the following things are important for being truly (demonym of the autonomous community) and others say that they are not important. How important would you say each of the following is for considering someone an authentic (demonym of the autonomous community)?",NA,NA,"Haber vivido en (gentilicio de la C. A.) la mayor parte de su vida","Having lived in (demonym of the autonomous community) most of one's life",NA,"Poca","Little",3
