"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_1","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"When new information emerges, I can quickly change my approach to solving supply chain problems.",NA,"Strongly Disagree",1
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_1","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"When new information emerges, I can quickly change my approach to solving supply chain problems.",NA,"Disagree",2
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_1","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"When new information emerges, I can quickly change my approach to solving supply chain problems.",NA,"Neutral",3
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_1","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"When new information emerges, I can quickly change my approach to solving supply chain problems.",NA,"Agree",4
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_1","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"When new information emerges, I can quickly change my approach to solving supply chain problems.",NA,"Strongly Agree",5
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_2","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"I am effective at rapidly identifying alternative solutions during SC disruptions.",NA,"Strongly Disagree",1
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_2","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"I am effective at rapidly identifying alternative solutions during SC disruptions.",NA,"Disagree",2
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_2","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"I am effective at rapidly identifying alternative solutions during SC disruptions.",NA,"Neutral",3
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_2","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"I am effective at rapidly identifying alternative solutions during SC disruptions.",NA,"Agree",4
"okeke2025_cognitive_agility_pre","okeke2025_cognitive_agility_pre_1","ca_pre_2","Leverage SC Survey Instrument, Section A: Pre-Experiment Survey - Perceived Cognitive Agility (adapted from Podsakoff et al., 2012)","(Please indicate your agreement with each statement using the following scale:)",NA,"I am effective at rapidly identifying alternative solutions during SC disruptions.",NA,"Strongly Agree",5
