"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,"Ninguna importancia","No importance",1
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,NA,NA,2
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,NA,NA,3
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,NA,NA,4
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,NA,NA,5
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,NA,NA,6
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,NA,NA,7
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,NA,NA,8
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,NA,NA,9
"spain_2013_services_importance","spain_2013_services_importance_1","p5","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.5 and P.6a, importance of public services and evaluation of their quality","Spanish",NA,NA,NA,NA,"¿Podría decirme qué importancia concede Ud. a los servicios públicos en general? Utilice para ello una escala de 1 a 10, en la que el 1 significa “ninguna importancia” y el 10 “mucha importancia”.","Could you tell me how much importance you attach to public services in general? Use a scale from 1 to 10 for this, where 1 means “no importance” and 10 “a lot of importance”.",NA,"Mucha importancia","A lot of importance",10
