"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p12","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"Y en esta ocasión, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on this occasion, were you very satisfied, fairly, not very or not at all satisfied?",NA,"No procede","Not applicable",0
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p12","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"Y en esta ocasión, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on this occasion, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Muy satisfecho/a","Very satisfied",1
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p12","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"Y en esta ocasión, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on this occasion, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Bastante satisfecho/a","Fairly satisfied",2
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p12","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"Y en esta ocasión, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on this occasion, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Indiferente","Indifferent",3
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p12","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"Y en esta ocasión, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on this occasion, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Poco satisfecho/a","Slightly satisfied",4
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p12","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"Y en esta ocasión, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on this occasion, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Nada satisfecho/a","Not at all satisfied",5
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p13","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"¿Y el servicio que Ud. recibió fue mucho mejor, mejor, peor o mucho peor que el que esperaba recibir?","And was the service you received much better, better, worse or much worse than what you expected to receive?",NA,"No procede","Not applicable",0
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p13","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"¿Y el servicio que Ud. recibió fue mucho mejor, mejor, peor o mucho peor que el que esperaba recibir?","And was the service you received much better, better, worse or much worse than what you expected to receive?",NA,"Mucho mejor","Much better",1
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p13","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"¿Y el servicio que Ud. recibió fue mucho mejor, mejor, peor o mucho peor que el que esperaba recibir?","And was the service you received much better, better, worse or much worse than what you expected to receive?",NA,"Mejor","Better",2
"spain_2013_services_inpersonsat","spain_2013_services_inpersonsat_1","p13","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.12-P.15 last in-person visit to a public office","Spanish",NA,NA,NA,NA,"¿Y el servicio que Ud. recibió fue mucho mejor, mejor, peor o mucho peor que el que esperaba recibir?","And was the service you received much better, better, worse or much worse than what you expected to receive?",NA,"Más o menos igual","More or less the same",3
