"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p16","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"En los últimos doce meses, ¿ha contactado Ud. personalmente por correo postal o fax con alguna oficina de la Administración Pública o centro público para solicitar información o realizar alguna consulta, trámite o gestión?","In the last twelve months, have you personally contacted any office of the Public Administration or public centre by post or fax to request information or to make an enquiry, carry out a procedure or deal with some business?",NA,"Sí","Yes",1
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p16","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"En los últimos doce meses, ¿ha contactado Ud. personalmente por correo postal o fax con alguna oficina de la Administración Pública o centro público para solicitar información o realizar alguna consulta, trámite o gestión?","In the last twelve months, have you personally contacted any office of the Public Administration or public centre by post or fax to request information or to make an enquiry, carry out a procedure or deal with some business?",NA,"No","No",2
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p16a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por correo o fax, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by post or fax, were you very satisfied, fairly, not very or not at all satisfied?",NA,"No procede","Not applicable",0
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p16a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por correo o fax, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by post or fax, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Muy satisfecho/a","Very satisfied",1
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p16a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por correo o fax, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by post or fax, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Bastante satisfecho/a","Fairly satisfied",2
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p16a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por correo o fax, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by post or fax, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Indiferente","Indifferent",3
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p16a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por correo o fax, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by post or fax, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Poco satisfecho/a","Slightly satisfied",4
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p16a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por correo o fax, ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by post or fax, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Nada satisfecho/a","Not at all satisfied",5
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p17","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"En los últimos doce meses, ¿ha contactado Ud. personalmente por teléfono con alguna oficina de la Administración Pública o centro público para solicitar información o realizar alguna consulta, trámite o gestión?","In the last twelve months, have you personally contacted any office of the Public Administration or public centre by telephone to request information or to make an enquiry, carry out a procedure or deal with some business?",NA,"Sí","Yes",1
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p17","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"En los últimos doce meses, ¿ha contactado Ud. personalmente por teléfono con alguna oficina de la Administración Pública o centro público para solicitar información o realizar alguna consulta, trámite o gestión?","In the last twelve months, have you personally contacted any office of the Public Administration or public centre by telephone to request information or to make an enquiry, carry out a procedure or deal with some business?",NA,"No","No",2
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p17a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por teléfono ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by telephone, were you very satisfied, fairly, not very or not at all satisfied?",NA,"No procede","Not applicable",0
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p17a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por teléfono ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by telephone, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Muy satisfecho/a","Very satisfied",1
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p17a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por teléfono ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by telephone, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Bastante satisfecho/a","Fairly satisfied",2
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p17a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por teléfono ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by telephone, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Indiferente","Indifferent",3
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p17a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por teléfono ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by telephone, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Poco satisfecho/a","Slightly satisfied",4
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p17a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y en la última ocasión en la que contactó con la Administración Pública o centro público por teléfono ¿quedó Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a?","And on the last occasion you contacted the Public Administration or public centre by telephone, were you very satisfied, fairly, not very or not at all satisfied?",NA,"Nada satisfecho/a","Not at all satisfied",5
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"¿Podría decirme si ha utilizado Internet en los últimos doce meses?","Could you tell me whether you have used the Internet in the last twelve months?",NA,"Sí","Yes",1
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"¿Podría decirme si ha utilizado Internet en los últimos doce meses?","Could you tell me whether you have used the Internet in the last twelve months?",NA,"No","No",2
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y, ¿en alguna ocasión ha solicitado a otra persona que busque en Internet algún tipo de información o que realice alguna consulta, trámite o gestión relacionado con la Administración Pública o algún centro público?","And have you ever asked another person to search the Internet for some kind of information or to make an enquiry, carry out a procedure or deal with some business relating to the Public Administration or some public centre?",NA,"No procede","Not applicable",0
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y, ¿en alguna ocasión ha solicitado a otra persona que busque en Internet algún tipo de información o que realice alguna consulta, trámite o gestión relacionado con la Administración Pública o algún centro público?","And have you ever asked another person to search the Internet for some kind of information or to make an enquiry, carry out a procedure or deal with some business relating to the Public Administration or some public centre?",NA,"Sí","Yes",1
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18a","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Y, ¿en alguna ocasión ha solicitado a otra persona que busque en Internet algún tipo de información o que realice alguna consulta, trámite o gestión relacionado con la Administración Pública o algún centro público?","And have you ever asked another person to search the Internet for some kind of information or to make an enquiry, carry out a procedure or deal with some business relating to the Public Administration or some public centre?",NA,"No","No",2
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18b","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Si en un futuro próximo tuviera que buscar información o realizar alguna gestión administrativa, ¿cree Ud. que es muy probable, bastante, poco o nada probable que lo haga a través de Internet?","If in the near future you had to look for information or carry out some administrative procedure, do you think it is very likely, fairly, not very or not at all likely that you would do it via the Internet?",NA,"No procede","Not applicable",0
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18b","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Si en un futuro próximo tuviera que buscar información o realizar alguna gestión administrativa, ¿cree Ud. que es muy probable, bastante, poco o nada probable que lo haga a través de Internet?","If in the near future you had to look for information or carry out some administrative procedure, do you think it is very likely, fairly, not very or not at all likely that you would do it via the Internet?",NA,"Muy probable","Very likely",1
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18b","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Si en un futuro próximo tuviera que buscar información o realizar alguna gestión administrativa, ¿cree Ud. que es muy probable, bastante, poco o nada probable que lo haga a través de Internet?","If in the near future you had to look for information or carry out some administrative procedure, do you think it is very likely, fairly, not very or not at all likely that you would do it via the Internet?",NA,"Bastante probable","Fairly likely",2
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18b","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Si en un futuro próximo tuviera que buscar información o realizar alguna gestión administrativa, ¿cree Ud. que es muy probable, bastante, poco o nada probable que lo haga a través de Internet?","If in the near future you had to look for information or carry out some administrative procedure, do you think it is very likely, fairly, not very or not at all likely that you would do it via the Internet?",NA,"Poco probable","Not very likely",3
"spain_2013_services_othercontact","spain_2013_services_othercontact_1","p18b","CIS Estudio 2986, Calidad de los servicios públicos (VIII), April 2013: P.16-P.18b contact with the Public Administration by post/fax and telephone, and Internet use","Spanish",NA,NA,NA,NA,"Si en un futuro próximo tuviera que buscar información o realizar alguna gestión administrativa, ¿cree Ud. que es muy probable, bastante, poco o nada probable que lo haga a través de Internet?","If in the near future you had to look for information or carry out some administrative procedure, do you think it is very likely, fairly, not very or not at all likely that you would do it via the Internet?",NA,"Nada probable","Not at all likely",4
