"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_1","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Busca/ba apoyo en otras personas","Seek(s)/sought support from other people",NA,"Mucho","A lot",1
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_1","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Busca/ba apoyo en otras personas","Seek(s)/sought support from other people",NA,"Bastante","Quite a bit",2
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_1","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Busca/ba apoyo en otras personas","Seek(s)/sought support from other people",NA,"Poco","A little",3
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_1","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Busca/ba apoyo en otras personas","Seek(s)/sought support from other people",NA,"Nada","Not at all",4
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_2","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Intenta/ba pensar en otras personas que están/ban peor que Ud.","Try/tried to think of other people who are/were worse off than you",NA,"Mucho","A lot",1
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_2","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Intenta/ba pensar en otras personas que están/ban peor que Ud.","Try/tried to think of other people who are/were worse off than you",NA,"Bastante","Quite a bit",2
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_2","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Intenta/ba pensar en otras personas que están/ban peor que Ud.","Try/tried to think of other people who are/were worse off than you",NA,"Poco","A little",3
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_2","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Intenta/ba pensar en otras personas que están/ban peor que Ud.","Try/tried to think of other people who are/were worse off than you",NA,"Nada","Not at all",4
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_3","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Se aisla/ba y trata/ba de pasarlo solo/a","Isolate(s)/isolated yourself and try/tried to get through it alone",NA,"Mucho","A lot",1
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_3","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Se aisla/ba y trata/ba de pasarlo solo/a","Isolate(s)/isolated yourself and try/tried to get through it alone",NA,"Bastante","Quite a bit",2
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_3","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Se aisla/ba y trata/ba de pasarlo solo/a","Isolate(s)/isolated yourself and try/tried to get through it alone",NA,"Poco","A little",3
"spain_2016_pain_coping","spain_2016_pain_coping_1","p21_3","CIS Estudio 3137, Percepciones sociales del dolor (Actitudes hacia el dolor), P.21","Spanish","Y por su parte, cuando siente/sentía este dolor, ¿en qué medida...?","And for your part, when you feel/felt this pain, to what extent...?",NA,NA,"Se aisla/ba y trata/ba de pasarlo solo/a","Isolate(s)/isolated yourself and try/tried to get through it alone",NA,"Nada","Not at all",4
