"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2023_science_activities","spain_2023_science_activities_1","p5_1","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Visitar museos y exposiciones de ciencia y tecnología","Visiting science and technology museums and exhibitions",NA,"Muy interesante","Very interesting",1
"spain_2023_science_activities","spain_2023_science_activities_1","p5_1","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Visitar museos y exposiciones de ciencia y tecnología","Visiting science and technology museums and exhibitions",NA,"Bastante interesante","Quite interesting",2
"spain_2023_science_activities","spain_2023_science_activities_1","p5_1","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Visitar museos y exposiciones de ciencia y tecnología","Visiting science and technology museums and exhibitions",NA,"Algo interesante","Somewhat interesting",3
"spain_2023_science_activities","spain_2023_science_activities_1","p5_1","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Visitar museos y exposiciones de ciencia y tecnología","Visiting science and technology museums and exhibitions",NA,"Poco interesante","Not very interesting",4
"spain_2023_science_activities","spain_2023_science_activities_1","p5_1","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Visitar museos y exposiciones de ciencia y tecnología","Visiting science and technology museums and exhibitions",NA,"Nada interesante","Not at all interesting",5
"spain_2023_science_activities","spain_2023_science_activities_1","p5_2","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Leer noticias sobre nuevos descubrimientos científicos","Reading news about new scientific discoveries",NA,"Muy interesante","Very interesting",1
"spain_2023_science_activities","spain_2023_science_activities_1","p5_2","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Leer noticias sobre nuevos descubrimientos científicos","Reading news about new scientific discoveries",NA,"Bastante interesante","Quite interesting",2
"spain_2023_science_activities","spain_2023_science_activities_1","p5_2","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Leer noticias sobre nuevos descubrimientos científicos","Reading news about new scientific discoveries",NA,"Algo interesante","Somewhat interesting",3
"spain_2023_science_activities","spain_2023_science_activities_1","p5_2","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Leer noticias sobre nuevos descubrimientos científicos","Reading news about new scientific discoveries",NA,"Poco interesante","Not very interesting",4
"spain_2023_science_activities","spain_2023_science_activities_1","p5_2","CIS Estudio 3406, Percepción de la ciencia y la tecnología (2023), P.5","Spanish","¿Le parece a Ud. muy interesante, bastante interesante, algo interesante, poco interesante o nada interesante...?","Do you find it very interesting, quite interesting, somewhat interesting, not very interesting or not at all interesting...?",NA,NA,"Leer noticias sobre nuevos descubrimientos científicos","Reading news about new scientific discoveries",NA,"Nada interesante","Not at all interesting",5
