"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2026_love_association","spain_2026_love_association_1","p3_1","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Desarrollo personal","Personal development",NA,"Mucho","A lot",1
"spain_2026_love_association","spain_2026_love_association_1","p3_1","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Desarrollo personal","Personal development",NA,"Bastante","Quite a lot",2
"spain_2026_love_association","spain_2026_love_association_1","p3_1","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Desarrollo personal","Personal development",NA,"Poco","A little",4
"spain_2026_love_association","spain_2026_love_association_1","p3_1","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Desarrollo personal","Personal development",NA,"Nada","Not at all",5
"spain_2026_love_association","spain_2026_love_association_1","p3_2","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Dependencia","Dependence",NA,"Mucho","A lot",1
"spain_2026_love_association","spain_2026_love_association_1","p3_2","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Dependencia","Dependence",NA,"Bastante","Quite a lot",2
"spain_2026_love_association","spain_2026_love_association_1","p3_2","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Dependencia","Dependence",NA,"Poco","A little",4
"spain_2026_love_association","spain_2026_love_association_1","p3_2","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Dependencia","Dependence",NA,"Nada","Not at all",5
"spain_2026_love_association","spain_2026_love_association_1","p3_3","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Felicidad","Happiness",NA,"Mucho","A lot",1
"spain_2026_love_association","spain_2026_love_association_1","p3_3","CIS Estudio 3508, Percepción social del amor (2026), P.3","Spanish","Ahora hablando del amor, como sentimiento en las relaciones amorosas o de pareja, ¿en qué grado asocia las siguientes palabras con el amor? ¿Mucho, bastante, poco o nada?","Now, speaking of love as a feeling in romantic or couple relationships, to what degree do you associate the following words with love? A lot, quite a lot, a little or not at all?",NA,NA,"Felicidad","Happiness",NA,"Bastante","Quite a lot",2
