"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2026_love_importance","spain_2026_love_importance_1","p1_1","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La familia","Family",NA,"Muy importante","Very important",1
"spain_2026_love_importance","spain_2026_love_importance_1","p1_1","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La familia","Family",NA,"Bastante importante","Quite important",2
"spain_2026_love_importance","spain_2026_love_importance_1","p1_1","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La familia","Family",NA,"Poco importante","Slightly important",3
"spain_2026_love_importance","spain_2026_love_importance_1","p1_1","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La familia","Family",NA,"Nada importante","Not at all important",4
"spain_2026_love_importance","spain_2026_love_importance_1","p1_2","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"El trabajo","Work",NA,"Muy importante","Very important",1
"spain_2026_love_importance","spain_2026_love_importance_1","p1_2","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"El trabajo","Work",NA,"Bastante importante","Quite important",2
"spain_2026_love_importance","spain_2026_love_importance_1","p1_2","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"El trabajo","Work",NA,"Poco importante","Slightly important",3
"spain_2026_love_importance","spain_2026_love_importance_1","p1_2","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"El trabajo","Work",NA,"Nada importante","Not at all important",4
"spain_2026_love_importance","spain_2026_love_importance_1","p1_3","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La salud","Health",NA,"Muy importante","Very important",1
"spain_2026_love_importance","spain_2026_love_importance_1","p1_3","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La salud","Health",NA,"Bastante importante","Quite important",2
"spain_2026_love_importance","spain_2026_love_importance_1","p1_3","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La salud","Health",NA,"Poco importante","Slightly important",3
"spain_2026_love_importance","spain_2026_love_importance_1","p1_3","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La salud","Health",NA,"Nada importante","Not at all important",4
"spain_2026_love_importance","spain_2026_love_importance_1","p1_4","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La política","Politics",NA,"Muy importante","Very important",1
"spain_2026_love_importance","spain_2026_love_importance_1","p1_4","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La política","Politics",NA,"Bastante importante","Quite important",2
"spain_2026_love_importance","spain_2026_love_importance_1","p1_4","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La política","Politics",NA,"Poco importante","Slightly important",3
"spain_2026_love_importance","spain_2026_love_importance_1","p1_4","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La política","Politics",NA,"Nada importante","Not at all important",4
"spain_2026_love_importance","spain_2026_love_importance_1","p1_5","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La religión","Religion",NA,"Muy importante","Very important",1
"spain_2026_love_importance","spain_2026_love_importance_1","p1_5","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La religión","Religion",NA,"Bastante importante","Quite important",2
"spain_2026_love_importance","spain_2026_love_importance_1","p1_5","CIS Estudio 3508, Percepción social del amor (2026), P.1","Spanish","Para empezar, le voy a leer una lista de cuestiones relacionadas con su vida personal. Para cada una de ellas, dígame, por favor, si representa algo muy importante, bastante, poco o nada importante en su vida.","To begin, I am going to read you a list of matters related to your personal life. For each of them, please tell me whether it represents something very important, quite, slightly or not at all important in your life.",NA,NA,"La religión","Religion",NA,"Poco importante","Slightly important",3
