"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q1","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Prefer city life to rural life.",NA,"Very Inaccurate",1
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q1","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Prefer city life to rural life.",NA,"Moderately Inaccurate",2
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q1","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Prefer city life to rural life.",NA,"Neither Inaccurate nor Accurate",3
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q1","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Prefer city life to rural life.",NA,"Moderately Accurate",4
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q1","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Prefer city life to rural life.",NA,"Very Accurate",5
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q2","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Have a good memory.",NA,"Very Inaccurate",1
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q2","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Have a good memory.",NA,"Moderately Inaccurate",2
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q2","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Have a good memory.",NA,"Neither Inaccurate nor Accurate",3
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q2","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Have a good memory.",NA,"Moderately Accurate",4
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q2","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Have a good memory.",NA,"Very Accurate",5
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q3","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Avoid interfering in the lives of others.",NA,"Very Inaccurate",1
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q3","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Avoid interfering in the lives of others.",NA,"Moderately Inaccurate",2
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q3","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Avoid interfering in the lives of others.",NA,"Neither Inaccurate nor Accurate",3
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q3","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Avoid interfering in the lives of others.",NA,"Moderately Accurate",4
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q3","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Avoid interfering in the lives of others.",NA,"Very Accurate",5
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q4","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Go through money quickly.",NA,"Very Inaccurate",1
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q4","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Go through money quickly.",NA,"Moderately Inaccurate",2
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q4","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Go through money quickly.",NA,"Neither Inaccurate nor Accurate",3
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q4","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Go through money quickly.",NA,"Moderately Accurate",4
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q4","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Go through money quickly.",NA,"Very Accurate",5
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q5","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Tremble in dangerous situations.",NA,"Very Inaccurate",1
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q5","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Tremble in dangerous situations.",NA,"Moderately Inaccurate",2
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q5","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Tremble in dangerous situations.",NA,"Neither Inaccurate nor Accurate",3
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q5","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Tremble in dangerous situations.",NA,"Moderately Accurate",4
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q5","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Tremble in dangerous situations.",NA,"Very Accurate",5
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q6","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Play a role in order to impress people.",NA,"Very Inaccurate",1
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q6","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Play a role in order to impress people.",NA,"Moderately Inaccurate",2
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q6","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Play a role in order to impress people.",NA,"Neither Inaccurate nor Accurate",3
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q6","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Play a role in order to impress people.",NA,"Moderately Accurate",4
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q6","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Play a role in order to impress people.",NA,"Very Accurate",5
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q7","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Experience supernatural guidance.",NA,"Very Inaccurate",1
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q7","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Experience supernatural guidance.",NA,"Moderately Inaccurate",2
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q7","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Experience supernatural guidance.",NA,"Neither Inaccurate nor Accurate",3
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q7","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Experience supernatural guidance.",NA,"Moderately Accurate",4
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q7","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Experience supernatural guidance.",NA,"Very Accurate",5
"goldberg_2018_eps_ipip","goldberg_2018_eps_ipip_1","q8","Experimental Personality Survey: Perceptions of Personal Qualities","On the following pages you will find a series of statements that individuals can use to describe themselves. For each statement, please give your best estimate of how well it describes you.",NA,"Would feel uncomfortable trying to take advantage of others.",NA,"Very Inaccurate",1
