"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others without making them feel bad?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others without making them feel bad?",NA,NA,2
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others without making them feel bad?",NA,NA,3
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others without making them feel bad?",NA,NA,4
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others without making them feel bad?",NA,"absolutely able",5
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others, without making them feel rejected?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others, without making them feel rejected?",NA,NA,2
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others, without making them feel rejected?",NA,NA,3
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others, without making them feel rejected?",NA,NA,4
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you need to speak to children, are you able to keep {{distRec}} distance from others, without making them feel rejected?",NA,"absolutely able",5
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","deccont","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to keep {{distRec}} distance from others if it requires you to decline physical content?",NA,"not able at all",1
