"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"silva_2022_crsy","silva_2022_crsy_1","crsy_01","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are several initiatives in my region to help young people in their life paths.",NA,NA,1
"silva_2022_crsy","silva_2022_crsy_1","crsy_01","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are several initiatives in my region to help young people in their life paths.",NA,NA,2
"silva_2022_crsy","silva_2022_crsy_1","crsy_01","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are several initiatives in my region to help young people in their life paths.",NA,NA,3
"silva_2022_crsy","silva_2022_crsy_1","crsy_01","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are several initiatives in my region to help young people in their life paths.",NA,NA,4
"silva_2022_crsy","silva_2022_crsy_1","crsy_01","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are several initiatives in my region to help young people in their life paths.",NA,NA,5
"silva_2022_crsy","silva_2022_crsy_1","crsy_02","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, I have opportunities to organize useful actions (e.g., awareness campaigns, volunteering).",NA,NA,1
"silva_2022_crsy","silva_2022_crsy_1","crsy_02","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, I have opportunities to organize useful actions (e.g., awareness campaigns, volunteering).",NA,NA,2
"silva_2022_crsy","silva_2022_crsy_1","crsy_02","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, I have opportunities to organize useful actions (e.g., awareness campaigns, volunteering).",NA,NA,3
"silva_2022_crsy","silva_2022_crsy_1","crsy_02","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, I have opportunities to organize useful actions (e.g., awareness campaigns, volunteering).",NA,NA,4
"silva_2022_crsy","silva_2022_crsy_1","crsy_02","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, I have opportunities to organize useful actions (e.g., awareness campaigns, volunteering).",NA,NA,5
"silva_2022_crsy","silva_2022_crsy_1","crsy_03","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"The adults in my community would participate in actions organized by the youth.",NA,NA,1
"silva_2022_crsy","silva_2022_crsy_1","crsy_03","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"The adults in my community would participate in actions organized by the youth.",NA,NA,2
"silva_2022_crsy","silva_2022_crsy_1","crsy_03","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"The adults in my community would participate in actions organized by the youth.",NA,NA,3
"silva_2022_crsy","silva_2022_crsy_1","crsy_03","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"The adults in my community would participate in actions organized by the youth.",NA,NA,4
"silva_2022_crsy","silva_2022_crsy_1","crsy_03","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"The adults in my community would participate in actions organized by the youth.",NA,NA,5
"silva_2022_crsy","silva_2022_crsy_1","crsy_04","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, there are opportunities for young people to participate in decision-making processes.",NA,NA,1
"silva_2022_crsy","silva_2022_crsy_1","crsy_04","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, there are opportunities for young people to participate in decision-making processes.",NA,NA,2
"silva_2022_crsy","silva_2022_crsy_1","crsy_04","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, there are opportunities for young people to participate in decision-making processes.",NA,NA,3
"silva_2022_crsy","silva_2022_crsy_1","crsy_04","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, there are opportunities for young people to participate in decision-making processes.",NA,NA,4
"silva_2022_crsy","silva_2022_crsy_1","crsy_04","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, there are opportunities for young people to participate in decision-making processes.",NA,NA,5
"silva_2022_crsy","silva_2022_crsy_1","crsy_05","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are opportunities to participate in local initiatives.",NA,NA,1
"silva_2022_crsy","silva_2022_crsy_1","crsy_05","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are opportunities to participate in local initiatives.",NA,NA,2
"silva_2022_crsy","silva_2022_crsy_1","crsy_05","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are opportunities to participate in local initiatives.",NA,NA,3
"silva_2022_crsy","silva_2022_crsy_1","crsy_05","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are opportunities to participate in local initiatives.",NA,NA,4
