"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL1","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Have you ever taken an intelligence test?",NA,"No",1
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL1","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Have you ever taken an intelligence test?",NA,"Yes",2
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL2","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe that those tests measure intelligence fairly well?",NA,"No",1
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL2","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe that those tests measure intelligence fairly well?",NA,"Yes",2
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL3","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe males are on average more intelligent than females?",NA,"No",1
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL3","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe males are on average more intelligent than females?",NA,"Yes",2
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL4","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe intelligence is primarily inherited?",NA,"No",1
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL4","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe intelligence is primarily inherited?",NA,"Yes",2
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL5","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe IQ tests are useful in educational settings?",NA,"No",1
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL5","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe IQ tests are useful in educational settings?",NA,"Yes",2
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL6","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe some races are more intelligent than others?",NA,"No",1
"goldberg_2018_spa_beliefs_about_intelligence","goldberg_2018_spa_beliefs_about_intelligence_1","VINTELL6","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Views About Intelligence",NA,NA,"Do you believe some races are more intelligent than others?",NA,"Yes",2
