"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR1","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们会激励我达到学业目标。","My teachers motivate me to achieve my academic goals.",NA,"非常不同意","Strongly disagree",1
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR1","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们会激励我达到学业目标。","My teachers motivate me to achieve my academic goals.",NA,"不同意","Disagree",2
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR1","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们会激励我达到学业目标。","My teachers motivate me to achieve my academic goals.",NA,"有些不同意","Somewhat disagree",3
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR1","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们会激励我达到学业目标。","My teachers motivate me to achieve my academic goals.",NA,"既不同意也不反对","Neither agree nor disagree",4
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR1","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们会激励我达到学业目标。","My teachers motivate me to achieve my academic goals.",NA,"有些同意","Somewhat agree",5
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR1","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们会激励我达到学业目标。","My teachers motivate me to achieve my academic goals.",NA,"同意","Agree",6
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR1","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们会激励我达到学业目标。","My teachers motivate me to achieve my academic goals.",NA,"非常同意","Strongly agree",7
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR2","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们鼓励我思考我的未来。","My teachers encourage me to think about my future.",NA,"非常不同意","Strongly disagree",1
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR2","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们鼓励我思考我的未来。","My teachers encourage me to think about my future.",NA,"不同意","Disagree",2
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR2","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们鼓励我思考我的未来。","My teachers encourage me to think about my future.",NA,"有些不同意","Somewhat disagree",3
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR2","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们鼓励我思考我的未来。","My teachers encourage me to think about my future.",NA,"既不同意也不反对","Neither agree nor disagree",4
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR2","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们鼓励我思考我的未来。","My teachers encourage me to think about my future.",NA,"有些同意","Somewhat agree",5
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR2","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们鼓励我思考我的未来。","My teachers encourage me to think about my future.",NA,"同意","Agree",6
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR2","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们鼓励我思考我的未来。","My teachers encourage me to think about my future.",NA,"非常同意","Strongly agree",7
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR3","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们坚信我是个善于思考的学生。","My teachers firmly believe that I am a student who is good at thinking.",NA,"非常不同意","Strongly disagree",1
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR3","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们坚信我是个善于思考的学生。","My teachers firmly believe that I am a student who is good at thinking.",NA,"不同意","Disagree",2
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR3","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们坚信我是个善于思考的学生。","My teachers firmly believe that I am a student who is good at thinking.",NA,"有些不同意","Somewhat disagree",3
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR3","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们坚信我是个善于思考的学生。","My teachers firmly believe that I am a student who is good at thinking.",NA,"既不同意也不反对","Neither agree nor disagree",4
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR3","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们坚信我是个善于思考的学生。","My teachers firmly believe that I am a student who is good at thinking.",NA,"有些同意","Somewhat agree",5
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR3","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们坚信我是个善于思考的学生。","My teachers firmly believe that I am a student who is good at thinking.",NA,"同意","Agree",6
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR3","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们坚信我是个善于思考的学生。","My teachers firmly believe that I am a student who is good at thinking.",NA,"非常同意","Strongly agree",7
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR4","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们帮助我了解到自己的长处。","My teachers help me understand my own strengths.",NA,"非常不同意","Strongly disagree",1
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR4","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们帮助我了解到自己的长处。","My teachers help me understand my own strengths.",NA,"不同意","Disagree",2
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR4","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们帮助我了解到自己的长处。","My teachers help me understand my own strengths.",NA,"有些不同意","Somewhat disagree",3
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR4","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们帮助我了解到自己的长处。","My teachers help me understand my own strengths.",NA,"既不同意也不反对","Neither agree nor disagree",4
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR4","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们帮助我了解到自己的长处。","My teachers help me understand my own strengths.",NA,"有些同意","Somewhat agree",5
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR4","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们帮助我了解到自己的长处。","My teachers help me understand my own strengths.",NA,"同意","Agree",6
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR4","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们帮助我了解到自己的长处。","My teachers help me understand my own strengths.",NA,"非常同意","Strongly agree",7
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR5","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们想要我在学校表现良好。","My teachers want me to do well at school.",NA,"非常不同意","Strongly disagree",1
"jiang_2024_ptspr","jiang_2024_ptspr_1","PTSPR5","Perceived Teacher Support - Positive Regard (Metheny, McWhirter & O'Neil 2008), Chinese adaptation as administered by Jiang et al. (2024)","Chinese","请根据您的实际情况，从“非常不同意”到“非常同意”中选择作答。","Please answer according to your actual situation, choosing from ""strongly disagree"" to ""strongly agree"".",NA,"老师们想要我在学校表现良好。","My teachers want me to do well at school.",NA,"不同意","Disagree",2
