"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,"I cannot do this activity at all",0
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,NA,1
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,NA,2
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,NA,3
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,NA,4
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,"I am moderately confident I can do this activity",5
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,NA,6
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,NA,7
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,NA,8
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,NA,9
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS1","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Taking my medication as prescribed (regularly and at indicated times)",NA,"I am certain I can do this activity",10
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,"I cannot do this activity at all",0
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,NA,1
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,NA,2
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,NA,3
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,NA,4
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,"I am moderately confident I can do this activity",5
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,NA,6
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,NA,7
"SBD_Smith_2020","SBD_Smith_2020_1","MBDS2","Managing Bipolar Disorder Scale (Original Battery); published as the Bipolar Self-Efficacy Scale (BPSES)","At present, how confident are you in performing each of the following activities? For each of the statements, please use the following scale to rate your level of confidence.",NA,"Managing medication side effects (so they do not affect me so badly)",NA,NA,8
